type,rd_percentage,pause,rd_mapped,bandwidth_mean,bandwidth_std,bandwidth_min,bandwidth_max,measured_frequency,latency_mean,latency_std,latency_min,latency_max,bandwidth_smooth,latency_smooth
DDR4-2666,0,340,45,155385.58909906473,24.561994619596955,155368.22114610975,155402.95705201972,3.0,164.964,0.0,164.964,164.964,157449.1351225141,170.44006759906796
DDR4-2666,0,380,45,140851.15256418078,118.1574086242902,140767.6026592951,140934.70246906643,3.0,149.969,0.0,149.969,149.969,138457.59290862543,149.53964102564134
DDR4-2666,0,450,45,120968.59880697264,36.06290461118255,120943.0984825728,120994.0991313725,3.0,139.973,0.0,139.973,139.973,120589.59569432486,136.47884149184176
DDR4-2666,0,550,45,100646.87495301072,74.42583716473541,100594.24793885605,100699.50196716539,3.0,134.975,0.0,134.975,134.975,105517.80344309677,132.79611888111918
DDR4-2666,0,600,45,92715.28801424618,32.326993617209396,92692.42937784408,92738.14665064828,3.0,129.976,0.0,129.976,129.976,93056.88054886757,129.0674731934735
DDR4-2666,0,700,45,80216.28865672316,68.43695551340409,80167.89642139587,80264.68089205044,3.0,124.97700000000002,0.0,124.977,124.977,81478.0982533566,126.49249883449912
DDR4-2666,0,800,45,70600.80013878638,23.111784280413076,70584.45763939638,70617.14263817639,3.0,124.978,0.0,124.978,124.978,70738.95428080761,124.33685314685343
DDR4-2666,0,900,45,63041.71792246666,40.01724267924542,63013.42145880378,63070.014386129544,3.0,124.978,0.0,124.978,124.978,61042.933562076025,122.26274592074618
DDR4-2666,0,1000,45,57023.78639501668,2.0818448348681695,57022.31430841657,57025.258481616795,3.0,119.979,0.0,119.979,119.979,51613.64828655432,120.22370629370657
DDR4-2666,0,1500,45,38510.91689590759,42.03239157745307,38481.19550679369,38540.6382850215,3.0,119.979,0.0,119.979,119.979,40492.82649932662,119.0004382284385
DDR4-2666,0,2000,45,29173.672763420178,20.809517590047406,29158.958212419035,29188.38731442132,3.0,114.98,0.0,114.98,114.98,29702.095907842973,117.34594871794877
DDR4-2666,0,3000,45,19603.06405422502,1.7439005237981886,19601.830930338925,19604.29717811111,3.0,114.981,0.0,114.981,114.981,19725.949386403445,115.77301515151521
DDR4-2666,0,5000,45,11845.306032538414,14.78350797122227,11834.852513802238,11855.759551274592,3.0,114.981,0.0,114.981,114.981,11022.397552710565,114.2583356643357
DDR4-2666,0,40000,45,1598.0887948560376,2.4930387233968925,1596.325950268963,1599.8516394431122,3.0,114.981,0.0,114.981,114.981,4049.4510244668927,112.77860839160843
DDR4-2666,0,100000,45,703.7017031876828,1.1417764559325227,702.8943453130937,704.5090610622718,3.0,109.98200000000001,0.0,109.982,109.982,-734.8795806249691,111.3105314685315
DDR4-2666,2,0,49,226316.0763769794,15.997476334794197,226304.7644529812,226327.38830097762,3.0,354.855,0.0,354.855,354.855,226393.76276980317,355.0647902097903
DDR4-2666,2,5,49,226613.49884157782,60.15288744706847,226570.96432695605,226656.0333561996,2.99,354.855,0.0,354.855,354.855,226510.8889784593,354.2259510489511
DDR4-2666,2,10,49,226727.65446654893,54.95009924107391,226688.7988787487,226766.51005434917,3.0,354.855,0.0,354.855,354.855,226642.41918247976,354.71482051282055
DDR4-2666,2,15,49,226681.13953757935,134.65571282778848,226585.9235699133,226776.3555052454,3.0,354.854,0.0,354.854,354.854,226787.2437298896,356.25770629370635
DDR4-2666,2,30,49,226993.5913055697,58.334790602198495,226952.34237955578,227034.8402315836,2.99,359.85,0.0,359.85,359.85,226944.25296871387,358.5809160839161
DDR4-2666,2,30,49,226993.5913055697,58.334790602198495,226952.34237955578,227034.8402315836,3.0,359.85,,359.85,359.85,227112.33724697793,361.41075757575834
DDR4-2666,2,35,49,227211.01406321497,86.3154211211662,227149.97984361922,227272.04828281072,2.99,364.847,0.0,364.847,364.847,227267.4494825556,363.4951608391616
DDR4-2666,2,50,49,227639.08584871487,59.636350125165706,227596.91658113615,227681.25511629359,2.99,369.842,0.0,369.842,369.842,227483.9678691407,366.74429603729686
DDR4-2666,2,55,49,227753.71734183916,96.08946892814805,227685.77182675948,227821.66285691888,2.99,369.842,0.0,369.842,369.842,227722.645314058,370.4595897435905
DDR4-2666,2,55,49,227753.71734183916,96.08946892814805,227685.77182675948,227821.66285691888,3.0,369.842,,369.842,369.842,227951.60449385858,373.5222983682992
DDR4-2666,2,70,49,228100.71959786554,70.67422564564697,228050.7453736564,228150.69382207468,2.99,374.838,0.0,374.838,374.838,228200.58361235965,377.6565524475533
DDR4-2666,2,90,49,228368.24200606812,23.000401176965436,228351.97826642587,228384.50574571034,2.99,384.831,0.0,384.831,384.831,228266.66474238553,380.800853146854
DDR4-2666,2,90,49,228368.24200606812,23.000401176965436,228351.97826642587,228384.50574571034,3.0,384.831,,384.831,384.831,228393.46112978098,387.2060885780895
DDR4-2666,2,100,49,228339.64545772376,110.33776693657694,228261.62487450193,228417.6660409456,2.99,384.829,0.0,384.829,384.829,228202.2277974798,388.55696503496586
DDR4-2666,2,120,49,227967.7208719826,217.1665605152851,227814.16092439528,228121.28081956992,2.99,389.827,0.0,389.827,389.827,228180.72575476766,387.64878321678407
DDR4-2666,2,140,49,227152.13776770415,138.0265408300248,227054.5382646995,227249.73727070878,2.99,384.83,,384.83,384.83,227842.95457555808,380.987480186481
DDR4-2666,2,140,49,227152.13776770415,138.0265408300248,227054.5382646995,227249.73727070878,3.0,384.83,,384.83,384.83,230037.12929884833,377.1639079254088
DDR4-2666,2,160,49,224754.63565262058,592.057807468738,224335.98756210497,225173.28374313615,2.99,339.866,,339.866,339.866,228563.2738011903,359.82842890442964
DDR4-2666,2,160,49,224754.63565262058,592.057807468738,224335.98756210497,225173.28374313615,3.0,339.866,,339.866,339.866,222705.71404267504,331.34535081585153
DDR4-2666,2,180,49,219605.07761300117,86.77261490435323,219543.720108581,219666.43511742132,3.0,309.887,0.0,309.887,309.887,214802.12520127685,295.26636829836895
DDR4-2666,2,200,49,214528.5238552689,403.3460009760054,214243.31516281428,214813.73254772348,3.0,292.3985,3.531998372026808,289.901,294.896,199901.33565164483,255.7148846153852
DDR4-2666,2,300,49,172305.70431306458,138.39815255888448,172207.8420408865,172403.56658524263,3.0,179.958,0.0,179.958,179.958,180375.26325103728,216.6276689976695
DDR4-2666,2,340,49,155286.69846295717,70.21111708455031,155237.051705952,155336.34521996236,3.0,164.964,0.0,164.964,164.964,157857.88906665758,183.4210244755249
DDR4-2666,2,380,49,140827.78900454013,87.02728930590499,140766.25141812363,140889.3265909566,3.0,149.969,0.0,149.969,149.969,134107.12483332388,152.61428904428936
DDR4-2666,2,550,49,100666.08989479046,19.60627995946912,100652.22616127727,100679.95362830364,3.0,134.975,0.0,134.975,134.975,112019.74075958127,133.40920629370657
DDR4-2666,2,600,49,92701.03162689038,23.822303808542525,92684.18671432388,92717.87653945689,3.0,129.976,0.0,129.976,129.976,94646.14187708136,123.51177156177184
DDR4-2666,2,700,49,80186.17195759968,139.41578189965776,80087.59011281401,80284.75380238536,3.0,124.978,0.0,124.978,124.978,82450.61005052511,126.57427972028
DDR4-2666,2,800,49,70719.24257202775,8.00839329201664,70713.57978282457,70724.90536123095,3.0,124.978,0.0,124.978,124.978,70018.48377635657,123.28843356643382
DDR4-2666,2,900,49,63233.730104252434,77.89823257753314,63178.64773575441,63288.812472750455,3.0,124.978,0.0,124.978,124.978,59459.076800226,121.42408158508185
DDR4-2666,2,1000,49,57056.5933707331,11.89713709672039,57048.18082441531,57065.0059170509,3.0,119.979,0.0,119.979,119.979,51708.612287570344,120.22380885780912
DDR4-2666,2,1500,49,38657.355589753024,14.926999842097905,38646.800606941906,38667.91057256414,3.0,119.979,0.0,119.979,119.979,40590.92814838092,119.00045920745947
DDR4-2666,2,2000,49,29195.893358620822,4.955628891199794,29192.389199826808,29199.397517414833,3.0,114.98,0.0,114.98,114.98,29777.99111091574,117.34592074592081
DDR4-2666,2,3000,49,19632.070689085165,0.9748751231285004,19631.38134827479,19632.760029895537,3.0,114.981,0.0,114.981,114.981,19776.599773640366,115.77295920745928
DDR4-2666,2,5000,49,11932.760899853994,30.29779810584768,11911.337121358329,11954.18467834966,3.0,114.981,0.0,114.981,114.981,11050.519107263812,114.25827972027979
DDR4-2666,2,40000,49,1604.5913644778147,0.8010221256688559,1604.024956300874,1605.1577726547557,3.0,114.981,0.0,114.981,114.981,4063.5140824951086,112.7785874125875
DDR4-2666,2,100000,49,708.7082203363645,0.08665612560522724,708.6469452023177,708.7694954704114,3.0,109.98200000000001,0.0,109.982,109.982,-720.6503299567412,111.31058741258751
DDR4-2666,4,0,50,227101.17614349673,7.372030482478209,227095.96333075146,227106.388956242,3.0,354.855,0.0,354.855,354.855,227106.51906524636,354.43535664335684
DDR4-2666,4,5,50,227250.7255308924,22.05759243084691,227235.1284577079,227266.3226040769,3.0,354.854,0.0,354.854,354.854,227215.18436787682,354.6448531468532
DDR4-2666,4,10,50,227376.3437520488,19.13769042538505,227362.81136137276,227389.87614272485,3.0,354.854,0.0,354.854,354.854,227408.48277915764,356.5314242424243
DDR4-2666,4,15,50,227586.79890715287,7.367111237239324,227581.58957283926,227592.00824146648,2.99,359.85099999999994,0.0,359.851,359.851,227665.2679139256,359.78061072261073
DDR4-2666,4,30,50,228083.6295347508,6.937186428283811,228078.724203185,228088.5348663166,3.0,364.846,0.0,364.846,364.846,227964.3933870176,364.07795337995344
DDR4-2666,4,35,50,228242.37547871278,12.62039344829784,228233.45151292425,228251.29944450132,3.0,369.844,0.0,369.844,369.844,228284.71281327095,369.1089930069938
DDR4-2666,4,50,50,228700.60854640714,11.25965404436085,228692.64676867853,228708.5703241357,3.0,374.838,0.0,374.838,374.838,228625.3898343274,374.8388717948726
DDR4-2666,4,55,50,228762.77709178012,21.293392755083506,228747.72038936854,228777.8337941917,3.0,379.835,0.0,379.835,379.835,228930.75838450948,380.56852680652764
DDR4-2666,4,70,50,229156.43384555785,6.152924992981517,229152.08307057119,229160.78462054452,3.0,384.83099999999996,0.0,384.831,384.831,229195.7502841598,388.72034498834586
DDR4-2666,4,90,50,229443.69809819778,43.973526729145476,229412.60411925492,229474.79207714065,2.99,389.826,0.0,389.826,389.826,229907.94275947567,395.64960606060697
DDR4-2666,4,100,50,229429.89025685212,80.79235555470274,229372.76143437135,229487.01907933288,2.99,394.82300000000004,0.0,394.823,394.823,229899.57117022353,394.8809930069939
DDR4-2666,4,120,50,229211.9712797255,60.52656214118984,229169.17253719355,229254.77002225743,2.99,394.82199999999995,0.0,394.822,394.822,232184.36838825862,394.7317599067608
DDR4-2666,4,140,50,229032.16331624013,23.680328150620454,229015.41879562408,229048.90783685615,2.99,394.82199999999995,0.0,394.822,394.822,231235.0824173119,378.50834265734346
DDR4-2666,4,160,50,228311.18628072372,124.11242493748273,228223.42554342092,228398.94701802652,3.0,354.854,0.0,354.854,354.854,226174.91495705157,348.34211188811264
DDR4-2666,4,180,50,220825.10843615182,110.71353167554685,220746.82214713492,220903.3947251687,3.0,309.888,0.0,309.888,309.888,219273.18867432536,309.6725221445228
DDR4-2666,4,200,50,218741.49879842563,11.46077909639774,218733.3948038089,218749.60279304237,3.0,294.896,0.0,294.896,294.896,204991.50339591468,265.14258041958095
DDR4-2666,4,300,50,180060.4267598497,334.9677370060497,179823.568801534,180297.28471816538,3.0,184.955,0.0,184.955,184.955,185810.39687901287,220.80930769230818
DDR4-2666,4,340,50,162533.13212804968,15.473454235425494,162522.19074363142,162544.0735124679,3.0,164.964,0.0,164.964,164.964,163191.47414511372,181.48280186480224
DDR4-2666,4,380,50,146755.30909260773,18.53418600653635,146742.20344399873,146768.41474121672,3.0,154.968,0.0,154.968,154.968,139321.23049941307,153.45342890442924
DDR4-2666,4,550,50,103542.47733286166,26.94511468933483,103523.42425954499,103561.53040617834,3.0,134.975,0.0,134.975,134.975,116772.49025186748,134.95269463869494
DDR4-2666,4,600,50,95534.55936494669,7.8441871968947225,95529.01268698687,95540.10604290651,3.0,129.976,0.0,129.976,129.976,98237.0034338568,124.21086247086274
DDR4-2666,4,700,50,82607.39624713706,29.625988951914746,82586.4475094498,82628.34498482432,3.0,124.977,0.0,124.977,124.977,84896.44210450373,126.66746153846182
DDR4-2666,4,800,50,72759.92395617983,19.416379891245498,72746.19450229264,72773.65341006703,3.0,124.978,0.0,124.978,124.978,71888.73567449002,123.39311188811217
DDR4-2666,4,900,50,65034.273048644696,33.4705837922401,65010.605771874936,65057.94032541446,3.0,124.978,0.0,124.978,124.978,61048.07423890387,121.00442424242452
DDR4-2666,4,1000,50,58758.36242565498,16.0806850829109,58746.99166418673,58769.73318712324,3.0,119.979,0.0,119.979,119.979,53207.820905909546,120.22370629370657
DDR4-2666,4,1500,50,39713.409587299786,3.9941452214457893,39710.58530012865,39716.23387447091,3.0,119.979,0.0,119.979,119.979,41736.024843313375,119.00043822843847
DDR4-2666,4,2000,50,30018.38992635718,55.46512081699869,29979.17016330815,30057.609689406214,3.0,114.98,0.0,114.98,114.98,30610.189518863466,117.34594871794874
DDR4-2666,4,3000,50,20180.750310806696,6.296642586435724,20176.29791213512,20185.202709478275,3.0,114.981,0.0,114.981,114.981,20324.09043025758,115.77301515151517
DDR4-2666,4,5000,50,12242.938937956864,5.017814618024179,12239.390807213722,12246.487068700006,3.0,114.981,0.0,114.981,114.981,11351.782578423503,114.25833566433568
DDR4-2666,4,40000,50,1638.7454404215796,0.18817433273822293,1638.612381074855,1638.878499768304,3.0,114.981,0.0,114.981,114.981,4167.320964289043,112.7786083916084
DDR4-2666,4,100000,50,719.9919514280798,0.47253250311617245,719.6578204907953,720.3260823653643,3.0,109.98200000000001,0.0,109.982,109.982,-755.2394112179754,111.31053146853148
DDR4-2666,6,0,51,227476.62003450427,12.404942776768015,227467.8484153466,227485.39165366197,3.0,349.858,0.0,349.858,349.858,227501.0094140088,349.47365734265736
DDR4-2666,6,5,51,227695.3390083402,161.7393512554056,227580.9720162828,227809.7060003976,3.0,354.855,0.0,354.855,354.855,227676.4823483955,352.68850349650353
DDR4-2666,6,10,51,227873.6675687268,158.43295971413062,227761.6385485495,227985.69658890413,3.0,349.858,0.0,349.858,349.858,227838.5154758611,354.70349417249423
DDR4-2666,6,15,51,227984.1412545693,62.812829521257285,227939.7258768693,228028.5566322693,3.0,354.855,0.0,354.855,354.855,227993.8512905374,355.94378205128214
DDR4-2666,6,30,51,228183.60187501047,48.24229883381207,228149.48941836506,228217.7143316559,2.99,359.851,0.0,359.851,359.851,228149.23228655636,356.83451981351993
DDR4-2666,6,30,51,228183.60187501047,48.24229883381207,228149.48941836506,228217.7143316559,3.0,359.851,,359.851,359.851,228311.4009580504,357.8008601398609
DDR4-2666,6,35,51,228587.23394509623,0.21093353833167033,228587.0847925609,228587.38309763157,2.99,359.85,0.0,359.85,359.85,228471.62603434816,359.2796736596745
DDR4-2666,6,35,51,228587.23394509623,0.21093353833167033,228587.0847925609,228587.38309763157,3.0,359.85,,359.85,359.85,228720.72304928466,363.3324685314693
DDR4-2666,6,50,51,228993.5466460567,22.726784969149843,228977.47638229045,229009.61690982297,2.99,364.846,0.0,364.846,364.846,229038.57459618157,367.8741818181826
DDR4-2666,6,55,51,229168.51566444285,63.35627114220673,229123.7160154875,229213.3153133982,3.0,369.8419999999999,0.0,369.842,369.842,229311.27740314818,372.77110023310104
DDR4-2666,6,70,51,229436.06805004974,19.026347911024608,229422.61439042064,229449.52170967884,2.99,379.835,0.0,379.835,379.835,229468.93332091958,378.37854545454627
DDR4-2666,6,90,51,229927.27860906365,70.33083529839827,229877.54719849763,229977.01001962964,2.99,389.827,0.0,389.827,389.827,229871.95768804927,389.4482097902106
DDR4-2666,6,100,51,229726.98710697138,72.60210018059598,229675.6496696053,229778.3245443375,2.99,389.826,0.0,389.826,389.826,230236.36478121395,394.59016783216873
DDR4-2666,6,120,51,229128.13643267588,9.139687568025638,229121.6736976186,229134.59916773313,3.0,387.328,3.532705478808038,384.83,389.826,229239.6482566266,387.81774358974445
DDR4-2666,6,140,51,228724.18312374427,112.76392779322295,228644.44698572846,228803.9192617601,2.99,389.827,,389.827,389.827,230990.93482496028,384.5062377622386
DDR4-2666,6,140,51,228724.18312374427,112.76392779322295,228644.44698572846,228803.9192617601,3.0,389.827,,389.827,389.827,229838.89252896735,366.40791724941806
DDR4-2666,6,160,51,224079.61159422414,55.60125798969466,224040.29556765713,224118.92762079116,3.0,319.88,0.0,319.88,319.88,224833.87653407472,336.0670885780893
DDR4-2666,6,180,51,217883.61957491894,774.450527552911,217336.00035519275,218431.2387946451,3.0,289.9,0.0,289.9,289.9,218408.27565559698,299.5637191142198
DDR4-2666,6,200,51,220550.99004454727,255.10060153323477,220370.60667931836,220731.3734097762,3.0,304.89,4.997000000000014,299.893,309.887,204709.27516329993,258.17827039627093
DDR4-2666,6,300,51,181585.77472927616,229.70806346364665,181423.3465999078,181748.20285864454,3.0,187.4545,3.5348267991515376,184.955,189.954,186102.68701464473,216.79715967366013
DDR4-2666,6,340,51,163640.20413416525,46.11465412246745,163607.59614952316,163672.8121188073,3.0,164.964,0.0,164.964,164.964,164040.92506191638,181.2150303030307
DDR4-2666,6,380,51,148298.0432343823,52.72116950815663,148260.76373791098,148335.32273085357,3.0,154.968,0.0,154.968,154.968,140755.19928456837,157.3960244755248
DDR4-2666,6,550,51,104042.96210924094,4.01153768779811,104040.12552373891,104045.79869474297,3.0,134.975,0.0,134.975,134.975,117947.85167031668,137.09603263403295
DDR4-2666,6,600,51,95892.35641662763,13.670231912812463,95882.69010294169,95902.02273031358,3.0,129.976,0.0,129.976,129.976,98798.13739514771,123.42464219114245
DDR4-2666,6,700,51,82959.66035660595,7.968037612868424,82954.02610317715,82965.29461003476,3.0,124.977,0.0,124.977,124.977,85315.58529335991,126.45771328671356
DDR4-2666,6,800,51,73140.84785189331,4.2786390925312165,73137.82239717673,73143.87330660988,3.0,124.978,0.0,124.978,124.978,72209.33828387318,123.39311188811217
DDR4-2666,6,900,51,65354.032649827524,19.43669040151774,65340.28883424079,65367.77646541427,3.0,124.978,0.0,124.978,124.978,61278.33282906122,121.00442424242452
DDR4-2666,6,1000,51,59024.60485634704,43.99960851477337,58993.49243479669,59055.71727789738,3.0,119.979,0.0,119.979,119.979,53485.89742372786,120.22370629370657
DDR4-2666,6,1500,51,39970.18732800911,5.266022069565801,39966.46368809384,39973.91096792438,3.0,119.979,0.0,119.979,119.979,41972.4026843577,119.00043822843847
DDR4-2666,6,2000,51,30216.878519883634,5.108713027775991,30213.26611425856,30220.49092550871,3.0,114.98,0.0,114.98,114.98,30786.20653172725,117.34594871794874
DDR4-2666,6,3000,51,20319.872155835874,3.5973443768739917,20317.328449232726,20322.415862439026,3.0,114.981,0.0,114.981,114.981,20439.342646430363,115.77301515151517
DDR4-2666,6,5000,51,12263.998029235996,3.2481982667910065,12261.70120621491,12266.294852257082,3.0,114.981,0.0,114.981,114.981,11411.106238980487,114.25833566433568
DDR4-2666,6,40000,51,1633.8172181698824,0.12745671877155573,1633.7270926597314,1633.9073436800336,3.0,114.981,0.0,114.981,114.981,4180.792519891082,112.7786083916084
DDR4-2666,6,100000,51,722.2122706007042,4.020242009733651,719.3695302136105,725.0550109877978,3.0,109.98200000000001,0.0,109.982,109.982,-772.3033003243909,111.31053146853148
DDR4-2666,10,0,53,228710.2714187447,81.04285497028762,228652.9654664285,228767.5773710609,3.0,344.862,0.0,344.862,344.862,228561.45674387636,344.96711888111895
DDR4-2666,10,5,53,228295.9114315128,162.10066968370842,228181.28894874456,228410.53391428103,3.0,349.859,0.0,349.859,349.859,228680.95330784153,348.7403076923077
DDR4-2666,10,10,53,229105.58407023305,121.6926986515382,229019.53433779563,229191.63380267043,3.0,349.858,0.0,349.858,349.858,228838.9533820162,352.0244265734265
DDR4-2666,10,15,53,228934.3572124359,47.8414455819223,228900.52820184315,228968.18622302864,3.0,354.854,0.0,354.854,354.854,229023.38151477237,354.9009871794871
DDR4-2666,10,20,53,229429.73150582344,170.21578491477914,229309.3707700452,229550.09224160167,3.0,359.85099999999994,0.0,359.851,359.851,229222.16225448216,357.4515011655011
DDR4-2666,10,25,53,229321.94411573422,147.44986006115457,229217.68131979997,229426.20691166847,3.0,359.85099999999994,0.0,359.851,359.851,229423.22014951802,359.75748018648096
DDR4-2666,10,30,53,229483.42434010917,161.91870221774016,229368.93052777008,229597.91815244826,3.0,359.8500000000001,0.0,359.85,359.85,229634.84920360777,361.7256433566441
DDR4-2666,10,35,53,229839.7512116457,145.65922824452568,229736.7545836116,229942.7478396798,3.0,364.847,0.0,364.847,364.847,229736.9377161169,364.28805594405674
DDR4-2666,10,40,53,230005.8976868258,109.87365334295517,229928.20528147326,230083.59009217835,3.0,364.847,0.0,364.847,364.847,229897.775383069,366.4426806526815
DDR4-2666,10,45,53,229920.40758185356,33.50128883380036,229896.7185933407,229944.0965703664,3.0,369.844,0.0,369.844,369.844,229971.01887684112,368.2477226107235
DDR4-2666,10,50,53,230069.23477314934,118.963277544768,229985.11503288525,230153.35451341342,3.0,369.843,0.0,369.843,369.843,230050.7693528717,370.40238461538536
DDR4-2666,10,55,53,230134.59690887883,153.23534268557538,230026.2431589484,230242.95065880922,3.0,374.84,0.0,374.84,374.84,230095.85092097215,372.54535431235513
DDR4-2666,10,60,53,230144.1936626911,30.655665078951817,230122.516834032,230165.87049135022,3.0,374.839,0.0,374.839,374.839,230137.76500041288,375.0375198135206
DDR4-2666,10,65,53,230110.62067254962,119.021572480306,230026.4597115413,230194.78163355793,3.0,374.839,0.0,374.839,374.839,230218.68533993466,377.40140792540876
DDR4-2666,10,70,53,230248.00734951632,146.8478933287707,230144.1702083406,230351.84449069208,3.0,379.836,0.0,379.836,379.836,230373.90087465942,380.52221911422
DDR4-2666,10,80,53,230532.43840865348,193.99739686591755,230395.26153379705,230669.6152835099,3.0,384.83099999999996,0.0,384.831,384.831,231221.6500739081,392.61071095571185
DDR4-2666,10,90,53,230667.95194154454,201.11189944969072,230525.74435366635,230810.1595294227,3.0,389.827,0.0,389.827,389.827,231551.5195891422,396.72179953380044
DDR4-2666,10,100,53,230777.19057569187,118.2188642810419,230693.59721509457,230860.78393628917,3.0,389.826,0.0,389.826,389.826,230091.0554787644,388.19623543123635
DDR4-2666,10,120,53,230930.60647497326,256.9327959812642,230748.92755262568,231112.2853973208,3.0,399.819,0.0,399.819,399.819,228965.51053861977,377.42335664335747
DDR4-2666,10,140,53,230658.52044441862,292.9959057332695,230451.34105261473,230865.6998362225,3.0,399.819,0.0,399.819,399.819,227082.05908726185,359.31304195804273
DDR4-2666,10,160,53,222039.8751012535,303.37264309456515,221825.35824809485,222254.39195441216,3.0,304.891,0.0,304.891,304.891,226194.22887112736,341.8674149184157
DDR4-2666,10,180,53,217328.6763036927,108.12074914788317,217252.22338878323,217405.12921860212,3.0,279.906,0.0,279.906,279.906,224726.99590080077,320.31017249417323
DDR4-2666,10,200,53,224138.6599294311,709.3894103305186,223637.04586688447,224640.27399197774,2.98,309.887,0.0,309.887,309.887,221960.94579749322,295.14120979021044
DDR4-2666,10,220,53,217651.29043025762,64.03934285796628,217606.00777666,217696.5730838552,2.99,274.909,0.0,274.909,274.909,216895.9745149734,268.0839347319353
