type,rd_percentage,pause,rd_mapped,bandwidth_mean,bandwidth_std,bandwidth_min,bandwidth_max,measured_frequency,latency_mean,latency_std,latency_min,latency_max,bandwidth_smooth,latency_smooth
DDR4-2666,0,0,45,224954.10527734092,21.829637036688528,224938.66939296143,224969.54116172038,2.99,369.8419999999999,0.0,369.842,369.842,224971.97800848927,370.26139160839153
DDR4-2666,0,5,45,225249.48412345472,41.25274457428901,225220.31402802368,225278.65421888576,2.99,374.839,0.0,374.839,374.839,225211.87171407213,373.33632867132866
DDR4-2666,0,10,45,225377.96306019637,5.582425423654836,225374.01568932386,225381.9104310689,2.99,374.839,0.0,374.839,374.839,225412.64725803584,375.5492377622378
DDR4-2666,0,15,45,225650.78669851573,30.265835632468573,225629.38552090173,225672.18787612973,2.99,374.838,0.0,374.838,374.838,225581.46406621145,377.0923333333334
DDR4-2666,0,20,45,225668.74978443963,13.998968724483756,225658.85101872493,225678.64855015435,2.99,379.835,0.0,379.835,379.835,225725.48156443003,378.15782983683
DDR4-2666,0,25,45,225795.7021113683,40.07682107125224,225767.3635194204,225824.04070331616,2.99,379.835,0.0,379.835,379.835,225851.85917852313,378.93794172494256
DDR4-2666,0,30,45,225994.99274451518,3.811327950760144,225992.29772867588,225997.6877603545,2.99,379.835,0.0,379.835,379.835,225973.2921806035,379.8345407925416
DDR4-2666,0,35,45,226168.90138625656,31.829665566088508,226146.39441389186,226191.40835862124,2.99,379.834,0.0,379.834,379.834,226088.62222380814,381.15053846153927
DDR4-2666,0,40,45,226145.77752379724,26.984946942917873,226126.69628482393,226164.8587627705,2.99,379.834,0.0,379.834,379.834,226207.7022514335,382.2336923076931
DDR4-2666,0,45,45,226305.0525841226,46.36140435290853,226272.27012071933,226337.83504752588,2.99,384.83099999999996,0.0,384.831,384.831,226341.88034649933,382.8509603729612
DDR4-2666,0,50,45,226482.51046351984,9.707264442153118,226475.646391006,226489.37453603363,2.99,384.83099999999996,0.0,384.831,384.831,226478.635338407,383.40994172494254
DDR4-2666,0,55,45,226529.4680154766,38.492852053670035,226502.24945876224,226556.68657219096,2.99,384.83099999999996,0.0,384.831,384.831,226567.6600757276,384.31836363636444
DDR4-2666,0,60,45,226735.0316405429,28.92786176592219,226714.57655332302,226755.48672776282,2.99,384.83099999999996,0.0,384.831,384.831,226657.08151900527,385.3433962703971
DDR4-2666,0,65,45,226753.97182996973,17.504625380437208,226741.5941906611,226766.3494692784,2.99,384.83099999999996,0.0,384.831,384.831,226740.29248668964,386.25172494172574
DDR4-2666,0,70,45,226845.55103244167,6.492844613253852,226840.95989798647,226850.1421668969,2.99,384.83,0.0,384.83,384.83,226765.1708159548,386.8105198135206
DDR4-2666,0,80,45,226666.95759111093,77.04764698259692,226612.47667745507,226721.4385047668,2.99,389.827,0.0,389.827,389.827,226924.1565899863,388.26599766899847
DDR4-2666,0,90,45,226840.6708520116,4.502002633215429,226837.48745542075,226843.85424860247,2.99,389.827,0.0,389.827,389.827,227165.60380551324,391.6547529137538
DDR4-2666,0,100,45,226792.80743837275,0.0360532114255047,226792.78194490247,226792.83293184303,3.0,389.826,0.0,389.826,389.826,227221.3208563854,394.2519463869473
DDR4-2666,0,120,45,226769.25151922368,170.44335514670055,226648.72986699126,226889.7731714561,3.0,389.826,0.0,389.826,389.826,227049.41357571408,392.66836829836916
DDR4-2666,0,140,45,226931.70527737768,124.47705347696683,226843.68670876202,227019.72384599337,3.0,389.826,0.0,389.826,389.826,227607.40813003486,388.6285104895113
DDR4-2666,0,160,45,225256.53050814924,159.09643500447575,225144.03234009497,225369.0286762035,3.0,384.83099999999996,0.0,384.831,384.831,226732.04292017492,374.0712820512829
DDR4-2666,0,180,45,222218.06431416585,306.1163695102558,222001.60735345294,222434.52127487876,3.0,354.855,0.0,354.855,354.855,223160.38540494756,348.97260606060684
DDR4-2666,0,200,45,218859.25571553333,225.9668485784348,218699.4730245802,219019.0384064865,3.0,319.88,0.0,319.88,319.88,216032.37661886384,315.17231002331073
DDR4-2666,0,220,45,213471.44894136002,106.93040009667797,213395.83773033667,213547.06015238338,3.0,289.901,0.0,289.901,289.901,205913.1078100119,275.9193449883456
DDR4-2666,0,260,45,191968.39204785237,105.1290458609631,191894.0545866244,192042.72950908032,3.0,219.93999999999997,0.0,219.94,219.94,192756.17162967162,235.3369230769236
DDR4-2666,0,300,45,173267.52280237147,1.1529427216599448,173266.70754875467,173268.33805598828,3.0,184.956,0.0,184.956,184.956,175892.83924294452,198.72494172494214
