rw_ratio,pause,bandwidth,latency
36,15,14.905020525292452,27.1089096
66,40,14.329865779252323,132.841461
22,42,14.033469351609964,143.279877
50,200,9.973757241007679,145.822098
56,40,14.525127032304802,42.9027557
86,30,14.0383041949745,147.253159
18,20000,0.7725062866722547,94.3333359
8,37,13.92500459097423,191.840088
86,400,9.072109039772112,140.282669
82,50,10.91770729990079,173.280731
0,20000,2.2423357664233574,116.670456
36,75,11.3495639575381,181.999496
48,0,13.920940252759037,11.5980387
66,2,14.262742702171094,63.798954
62,20000,0.7725062866722547,94.3333359
14,32,14.095421875669949,149.502762
24,20000,1.2545019920318723,97.9756088
22,35,14.13724853920566,95.1312408
68,0,14.09307674120168,11.9984808
94,25,14.191244181506951,214.653198
72,40,14.618394697118854,197.721191
44,2,14.431346579843478,24.6811943
24,5,14.846003572511922,35.197876
6,25,13.782942489677382,164.517944
76,40,14.197292366138747,101.359879
86,75,11.081814370755428,181.59108
12,50,12.608759695367294,191.139694
96,27,13.10274226896104,209.649704
28,27,14.665390403913344,68.7951202
36,20,14.921054450909368,42.2548294
32,75,11.150839204795993,174.803055
58,22,14.018906501107718,37.6708374
56,20,15.006990404277527,43.8578186
36,200,9.503830288744844,149.523285
32,37,13.945595835087852,96.0330276
100,22,13.642790483492098,231.27124
74,15,14.26386773908667,48.5056534
84,75,11.29672463883472,176.615616
76,50000,0.7843404255319149,92.7083359
90,75,10.973131416154851,182.744873
86,50000,0.99821283509342,96.34375
36,42,14.262135697917705,107.903633
80,5,14.864129284280196,48.1708221
24,50,13.052693384693777,210.802643
66,32,14.31880970671543,82.9143295
46,27,14.90152101185053,27.6544781
18,40,13.684263412883546,172.784714
20,27,14.238030588547337,121.880096
28,0,13.762456808188565,6.36733484
82,10,14.674252030245835,75.5319366
28,15,14.01871101035459,66.8054276
72,30,14.527495698764229,75.0967484
68,32,14.797772650858477,149.416077
68,15,15.498887816558236,29.2913227
68,22,15.716353986846046,36.5279465
98,200,9.559277951512524,143.336319
62,50,12.663520493048424,148.308716
68,75,10.882379951495553,175.633499
62,400,8.866893900935528,136.675247
94,50,12.093438518798747,203.118149
76,0,14.137526570895048,18.8768997
92,40,12.895085877649477,221.062195
16,20000,0.7725062866722547,94.3333359
66,400,9.172693972693972,136.472733
60,200,9.409271523178807,149.550934
74,75,11.810111116276907,175.238968
74,0,14.103609192319897,14.6032238
90,1000,9.085729121592383,137.265549
26,15,14.845452107726691,44.7354584
24,40,14.56713396784301,93.8494186
0,40,12.388363396671272,220.227539
96,45,12.196338934142895,220.183578
98,25,14.209258627449982,219.462387
2,5000,2.779282868525896,100.798164
90,20000,2.941472172351885,115.25
92,22,12.782422925221312,217.76886
8,27,13.726531119987836,165.926407
40,30,15.086875419206574,26.9115906
2,2,13.08643846320995,132.892517
18,42,13.732669998902743,178.032776
14,20000,0.7725062866722547,94.3333359
0,400,9.665015945820045,139.992599
52,1000,6.35230998509687,116.11937
20,2,14.735654134572153,38.9485168
86,15,14.70861216564755,69.006012
78,37,13.872368259467283,159.336288
18,27,14.609686156063999,111.182037
66,30,14.651503837092353,95.0827942
58,1000,6.7450365941655495,115.410797
42,200,9.260639932932792,141.71669
10,40,13.80604195364165,192.478378
38,75,11.013613830531877,180.606171
38,40,14.460293534311779,81.3399353
52,37,14.025255527364987,46.9214668
2,27,12.437481609253716,230.853165
50,50000,2.7842900302114804,107.333336
18,400,8.154539370956948,136.600143
54,50000,0.2814475492441594,76.5
60,5,14.895701898122649,25.422821
0,5,13.391934251212573,203.983124
56,5,15.316836877797988,16.0741749
50,40,13.633683604980414,136.393204
52,45,13.514107000128915,90.9467926
96,0,13.77997119365085,147.651474
68,30,15.432062726401936,27.227684
24,2,14.407182081752408,26.0160179
44,0,13.689297420726865,9.67735291
14,27,14.191263421091337,125.797646
72,200,8.441453566621803,150.180618
2,20,12.618179538633507,225.955704
86,2,14.090379400129475,67.1766739
16,35,13.760697126145214,163.541122
36,2,14.577526967701399,27.8213081
92,400,9.242163477491427,144.524506
68,10,14.384043473054025,40.3154068
52,400,9.124316577693381,144.419785
54,1000,7.486357496623143,138.763275
18,30,14.217845504221382,159.276077
32,20,14.807485394215618,57.6456261
64,5000,4.347531172069825,116.013214
14,22,15.014468405411629,136.062134
42,20000,0.7725062866722547,94.3333359
94,75,10.637505422337002,172.3965
88,40,12.853044951612018,212.258224
58,32,14.893829394930036,28.2094326
28,25,14.761325378633561,67.6573792
94,50000,0.99821283509342,96.34375
66,27,14.78869425931972,60.4868736
88,0,14.046957080715838,56.2274475
58,37,14.498334370747905,53.016655
84,37,13.71922250380742,212.608994
56,5000,2.5071019274179545,109.361702
46,35,14.737476031137849,35.8494301
66,50,13.159412657068437,137.51329
2,35,12.3249207529655,217.364227
32,20000,2.0190601380216893,118.849998
62,35,14.270360184148055,76.6677933
44,30,14.739654060634823,107.143745
18,25,14.557668225668182,128.02594
38,30,14.583913870925047,62.1088829
44,27,15.222181187841631,59.7580185
68,50,12.970641054500886,116.25737
58,42,14.551912800810921,49.3839455
92,30,13.794558864032805,206.594238
48,200,9.735476415589872,144.948624
6,20000,1.494273127753304,97.6226425
52,40,14.763889485941224,88.9044495
6,5,14.010227289869148,118.573044
12,5000,4.484547069271758,112.821289
44,5,14.984269151923653,41.1894226
48,42,14.05603338279077,107.122658
92,50,12.041802315227068,202.519516
52,20000,0.5522696629213483,86.4375
68,400,8.164334915046686,138.491714
44,45,14.231460039536854,166.757019
36,35,14.079408385605811,70.2389755
76,200,8.322009068712939,145.864807
96,35,12.652093837074647,230.808456
56,20000,0.7725062866722547,94.3333359
62,200,8.890194573855851,149.040253
66,1000,8.770401579986833,138.641052
88,10,14.1693319530978,119.668045
58,35,14.795159146415696,74.5150604
8,32,14.370810198300283,177.280151
42,40,14.543386707481027,55.0448914
20,200,9.033393436711144,142.945831
32,400,9.295848261327713,144.439926
76,1000,7.09273459012921,127.097862
22,40,14.359912984529458,91.655304
28,400,8.470984965575383,145.674515
66,50000,0.99821283509342,96.34375
60,40,13.600896542603175,72.3933105
94,2,14.093405227297787,149.913513
96,1000,5.912565301072313,102.371429
30,10,14.734485954222782,33.2651672
60,1000,8.845426093177144,134.324539
98,0,13.992585196784017,178.434235
48,10,15.139735163324207,22.0825596
0,45,13.024657098607404,211.852905
32,27,15.001371761486515,80.5944519
86,25,14.317072545517181,92.6010284
60,37,14.197649910899239,60.8255043
96,37,12.323232370565183,223.740372
36,5,14.962157519857582,26.4477177
42,75,11.234291831709667,180.807663
8,5,14.3459743529332,94.3369827
38,35,14.680724997699881,48.8410721
2,40,12.514279559264256,215.022369
28,10,14.927489855603312,46.04002
20,5000,2.5071019274179545,109.361702
44,35,14.742202171548566,104.38501
42,25,14.972365336130588,34.0023575
52,10,14.71689632850272,24.9933167
50,50,12.62402912621359,185.835602
52,2,14.904107554540836,14.1124153
64,35,14.345802916206706,147.668182
62,30,14.919623933240086,73.0739822
80,2,14.050433151134353,42.8377304
24,1000,8.840899795501024,135.822357
4,0,12.555392499259053,28.3554993
44,10,14.738463245317552,52.8287964
60,2,14.386040786301034,25.6380997
8,15,13.870092509449329,149.564438
96,32,13.486742025515058,195.50824
84,27,13.505063144404172,214.510818
68,2,14.311028383500506,24.6838512
66,35,13.909408360642635,115.871582
14,37,13.912898245003587,198.423523
28,22,15.185588987999104,52.0014153
16,45,13.517215692710653,207.266602
20,20,14.897026716701712,72.5036697
92,45,13.107352057058192,214.657898
2,20000,0.5522696629213483,86.4375
16,15,14.405282278404504,75.4779053
14,20,14.14388520375236,95.0000305
88,50000,0.7843404255319149,92.7083359
8,20,13.930443793099252,161.117966
92,1000,7.599339454389325,127.222961
98,40,12.768153976332707,211.254562
82,20,14.406195392293371,81.4922714
4,15,13.342133788341378,198.572418
14,15,14.578812899593478,90.4662933
34,10,15.06623240600372,48.24049
100,37,13.32679021070762,203.412521
32,45,14.016280446883265,98.5722046
74,27,13.86469594128793,68.8032837
50,32,14.622883135557627,57.8977966
16,10,14.368188982513256,61.8038063
60,15,15.511816060614006,25.5144405
86,40,13.61106772716317,138.01474
10,35,13.756705487234768,184.267639
64,42,13.808158047646716,173.721161
16,42,14.228134743534877,147.061325
18,50,12.590595289079229,206.694382
46,200,8.696553794100794,148.13591
50,22,14.869688948434835,40.4614983
28,5,14.889909311624686,34.8428802
42,5000,2.29376,102.345238
32,1000,8.713757271815446,133.823196
32,15,15.053307237155314,59.5597
86,20,14.303267007316713,122.869873
70,5000,2.5440472285995406,99.0297012
30,15,14.678066270191275,27.4093876
88,400,9.57130902570233,141.038376
54,2,14.405300576675952,21.3784866
68,5,14.566550606085086,44.7373581
4,35,14.302865830407416,213.01207
96,20000,0.5522696629213483,86.4375
26,20000,1.894996572995202,113.208336
10,5,13.971304007656327,75.2801743
10,50000,0.7843404255319149,92.7083359
44,1000,7.414541120381407,128.90741
54,20000,0.28138310052667737,76.5
66,200,9.347832141274765,154.731674
16,25,14.455496422726318,95.2599869
72,20,15.197716467444334,65.9595795
12,35,13.481296461492715,169.486633
28,50000,0.7843404255319149,92.7083359
18,20,14.466050532320885,141.201981
62,37,14.3308769317377,115.15934
72,37,13.983319790801552,137.646194
78,22,14.825776036259562,60.6753044
56,30,14.802891671871063,28.545475
28,50,13.426212958450943,121.990494
48,5000,2.876655052264808,99.8527145
28,75,10.911382041470143,180.691666
48,2,14.232524833559342,22.7569046
58,0,14.033080859092863,9.88219738
14,30,13.874710910005026,109.143524
78,200,7.0488681574975995,150.913803
54,75,10.809565939864818,173.277283
50,20,14.887914632974516,47.8648186
14,75,10.87219547315844,179.949265
100,1000,7.476768802228412,130.254654
20,15,14.723600877426648,50.8159027
34,75,11.044715732126226,182.040955
12,27,14.399720444441567,168.987778
60,32,14.39831812174469,58.9483223
92,5000,3.1489749430523917,111.388885
36,5000,2.5071019274179545,109.361702
38,20,15.392640579660519,45.2534409
76,15,14.92131119854995,58.1593285
20,32,14.414920768186747,89.6682053
12,37,13.622178464226735,182.236893
22,45,13.523036485056979,204.635849
56,15,15.042386774025106,19.5984325
12,32,14.360220345906587,151.224213
10,400,8.989595375722542,146.0923
66,25,14.519351590305117,91.6996994
62,27,14.792940250000509,48.526825
22,10,15.093501899338944,39.2011452
42,400,8.86266048773076,137.240952
66,0,13.93095344870694,19.7199078
46,5,14.76703544212094,21.638401
76,75,10.550895413904529,185.458435
80,50000,0.7843404255319149,92.7083359
72,22,14.70310028567795,74.584053
20,50000,0.7843404255319149,92.7083359
44,42,13.817972951718756,102.663567
90,50000,3.095701464336325,107.648438
14,200,8.759228683705487,146.626602
8,5000,4.530438886267107,112.891998
78,75,11.077339685325645,184.505005
84,45,12.950858651146943,228.47496
46,0,13.827331426313162,9.11404991
2,50000,0.5505376344086022,90.75
10,5000,2.6459756803705847,115.428574
32,50000,2.0933560477001705,105.199997
84,50,12.4346610872054,215.154037
22,22,15.20046799470427,56.7208443
44,37,15.059269623739024,66.7879791
6,400,9.194799252678537,137.766876
96,400,8.877656928616503,140.890808
82,5,14.09571907618183,72.536705
70,2,14.165982354872074,24.0372601
0,15,13.396699560684112,223.882431
34,40,13.858056536870013,165.095657
78,20,14.645140343808157,101.804634
74,20,14.877748246382003,50.3106194
8,40,12.78968633093525,212.086273
62,75,11.175475168608214,180.640152
100,2,13.450011114920281,237.204117
74,37,14.499501921161235,110.986183
30,45,14.09734229038022,99.1137009
14,42,13.882226974869237,115.280838
70,25,14.593210545446478,50.1319771
54,35,14.422214378162137,81.3285217
16,50,12.815690885995904,208.53862
20,10,14.965438346968948,64.5878983
48,25,13.974699392263751,38.2372742
82,15,14.211710956076704,121.436478
72,20000,0.7725062866722547,94.3333359
26,10,15.107515041359324,29.512743
96,15,13.950100674476394,185.515564
32,35,14.382593045030003,92.8428802
98,42,12.85959280542664,216.577515
42,22,15.031689817690182,36.9334297
26,1000,8.706211318402422,137.066772
16,40,13.907810663532429,176.987442
