type,rd_percentage,pause,bandwidth_mean,bandwidth_std,bandwidth_min,bandwidth_max,rd_mapped_mean,latency_mean,latency_std,latency_min,latency_max,bandwidth_smooth,latency_smooth
DDR5-4800,0,0,187.63055291295535,0.03265606500793457,187.60746158794137,187.65364423796933,0.46250644571966126,483.26097550191304,1.3816591636879987,482.07127968305855,484.7763938532692,187.68516598086694,483.7349592303368
DDR5-4800,0,5,187.7395106357285,0.029055358676027945,187.71896539457887,187.76005587687814,0.4639945048743179,487.17935453175807,1.4593310184644177,486.26148054529426,488.8621287405469,187.77379030781384,486.64915906874137
DDR5-4800,0,10,187.92826617862505,0.026475182778963657,187.9095453973489,187.9469869599012,0.4659902778156757,488.288362358034,1.6540833235614256,486.7790958192057,490.05669061479097,187.75745662224526,488.4876030947038
DDR5-4800,0,15,187.7189802140109,0.038013628919288424,187.69210051922457,187.74585990879723,0.4682546995199316,490.6637957142062,1.21563887963993,489.787045182408,492.05151773679427,187.66474445566377,489.47445358819584
DDR5-4800,0,20,187.51148422811121,0.07489053188933473,187.4585286251656,187.56443983105683,0.4700857140333141,489.6279513970491,2.544654512622516,486.82526102478425,491.79347038312545,187.52423333957188,489.8338728291893
DDR5-4800,0,25,187.24764213554317,0.03691676928662327,187.22153803764112,187.27374623344525,0.4717249227641733,488.3676329635089,0.8684638538228162,487.56514444034445,489.2896829403428,187.3645028054726,489.79002309765724
DDR5-4800,0,30,187.05974585169855,0.0391097735689272,187.03209106559729,187.0874006377998,0.47346749706967484,489.6705320792112,1.4877237274224755,488.2596492416639,491.22472499469734,187.2553277100874,489.78694152291007
DDR5-4800,0,35,187.11231057557427,0.038995881147740365,187.08473632357638,187.1398848275722,0.47499892279450673,489.18976955922017,1.0152392766074496,488.0185756314164,489.81940487428426,187.16939012959838,489.936290553747
DDR5-4800,0,40,187.08016342858718,0.11107288482805716,187.0016230385193,187.15870381865506,0.47611958695899037,489.61538918137177,1.1911935332074184,488.24151673576426,490.3597528449632,187.165907911031,490.1157075764001
DDR5-4800,0,45,187.41126850273037,0.006568961204514188,187.4066235457173,187.41591345974345,0.47669809663091023,491.5637830205819,2.5068198253647465,489.5595926427809,494.3746239997993,187.11932741702975,490.359040474185
DDR5-4800,0,50,187.08441243884016,0.0629690424839418,187.03988660189492,187.12893827578537,0.4774112299928259,490.4118396768378,2.4281063276463235,487.65431696682947,492.2296360147275,187.06714976680536,490.1329463500631
DDR5-4800,0,55,186.9740049285411,0.09142762144304517,186.90935583743098,187.03865401965123,0.4781025070500228,489.79306314009364,2.5609023611210873,487.930926472806,492.71349221966886,186.9279541729419,489.21193950799625
DDR5-4800,0,60,186.82175628921638,0.06419197012883925,186.77636571184055,186.8671468665922,0.47905106041920764,488.8329840015368,0.7801584043848466,487.93221619276255,489.2938632353311,186.79142690864182,488.49793994562094
DDR5-4800,0,65,186.35433232522644,0.04798407238037608,186.3204024622573,186.38826218819554,0.48001958465126426,486.2898765603339,0.207931465113328,486.09741647048156,486.51042405996657,186.61608428837957,487.58957783222826
DDR5-4800,0,70,186.38838915612345,0.11082235915109163,186.31002591446062,186.46675239778628,0.48068955920843953,484.90880690896824,1.6604752722711265,483.0286610362609,486.17440519430437,186.41075992764183,486.35341795381385
DDR5-4800,0,80,186.08197976885506,0.016382844352838585,186.07039534851805,186.09356418919208,0.48208136375750094,484.37822965686286,0.4966727650292416,484.07115454203847,484.95124604677255,186.31690888185523,486.11013132222627
DDR5-4800,0,90,186.21535569166718,0.040262798067455675,186.18688559412413,186.2438257892102,0.4835063853460615,485.0323815742542,1.5866602025207506,483.31334351606023,486.4406917422408,185.97024773426904,483.85912763173644
DDR5-4800,0,100,185.5593672392618,0.18168792850136975,185.43089447295873,185.68784000556485,0.48464188175563117,481.4182688666299,2.7346500571036927,478.8247014888746,484.2749779151321,185.41835376761253,479.9517691246288
DDR5-4800,0,120,185.13306152084692,0.012291185081362553,185.12437034052707,185.14175270116675,0.48702429968579264,476.83972096722863,1.775284438682149,475.02588959271577,478.57376823219903,184.741296151542,474.57326709427105
DDR5-4800,0,140,184.36615398452312,0.09111042494104994,184.30172918521052,184.43057878383573,0.4893946711877774,471.84347569550226,1.6443593181765936,470.21441469471733,473.5027178384482,183.40396112504772,466.78107780473397
DDR5-4800,0,160,182.36490812051662,0.055499197825097504,182.32566426138408,182.40415197964916,0.49428927968003,452.9122113627018,2.6239103181127623,450.16519291259203,455.39266348762374,183.49965399519346,463.7921524352871
DDR5-4800,0,180,181.89168955108403,0.005349398659419674,181.8879069550167,181.8954721471514,0.49590712262682923,446.6915136115747,0.5810350776158268,446.08148342354514,447.2383946574916,184.56059263132414,459.75929401725625
DDR5-4800,0,200,181.6187289852819,0.009760970455637395,181.61182693688178,181.62563103368205,0.49706354837556166,438.5122541363283,0.9130949995381741,437.7835753215285,439.53652753044815,184.80045926750284,444.36810867366205
DDR5-4800,0,220,181.18772116179088,0.006714520770709441,181.1829732786215,181.19246904496026,0.498350850445489,428.0663815432631,1.3338153351500914,426.70843164663717,429.374675494127,183.53985014171974,417.0211986911693
DDR5-4800,0,260,187.0107159701885,0.25573294110676364,186.82988547335913,187.19154646701787,0.5000127623881285,424.304796908985,4.978320517900567,420.4150951296923,429.9152091785669,179.61137347613789,378.67710725440327
DDR5-4800,0,300,177.15591454517445,0.012126464901966685,177.14733983961045,177.16448925073846,0.500180722635647,345.06449325611146,0.3913173080775302,344.70068655118894,345.47848009934944,171.0350638769728,332.20566370725044
DDR5-4800,0,340,159.57555483213332,0.02454840627337481,159.5581964875901,159.59291317667655,0.5002339546424575,253.32724273349777,1.3538727097108736,252.0105743996271,254.7154807900217,158.90196759238188,280.92310375279357
DDR5-4800,0,380,144.42971549838265,0.06156045951387301,144.38618568000743,144.47324531675787,0.5002598612016349,210.71401080178484,0.3656326542804579,210.35347184423412,211.0845326995786,143.71525939089847,230.953722768029
DDR5-4800,0,450,124.05618088931698,0.019180257566693445,124.04261839912665,124.06974337950729,0.5002530998605521,176.52594123344429,0.17551480916559994,176.34381004335117,176.69399137520568,126.58181624090541,187.52953249757869
DDR5-4800,0,550,103.1304322970202,0.007998535752370419,103.12477647815015,103.13608811589027,0.5002859056127856,155.41633340115385,0.0666211734995992,155.34595165220233,155.47841642726087,109.04235528242828,155.81187739847795
DDR5-4800,0,600,95.09561963952933,0.0030164458075431413,95.09348669024374,95.09775258881493,0.5002753542210809,149.09056059688797,0.049943578562418975,149.03633839219566,149.1346812679632,95.49631650416117,142.8376580525832
DDR5-4800,0,700,82.28933766291212,0.016217629128189182,82.27787006738082,82.30080525844343,0.5003328878096932,140.3777407266845,0.07536391447607817,140.3285542903294,140.4645050029532,83.59717975603468,138.13006627812143
DDR5-4800,0,800,72.52556072649365,0.00889037224432518,72.51927428399242,72.53184716899489,0.5003690046975768,135.39433522858863,0.16230913613256237,135.25412794570903,135.57214538813545,72.6386976841588,133.7589472583121
