type,rd_percentage,pause,bandwidth_mean,bandwidth_std,bandwidth_min,bandwidth_max,rd_percentage_actual_mean,latency_mean,latency_std,latency_min,latency_max,bandwidth_smooth,latency_smooth
DDR4-3200,0,120,142.15202119427374,0.01006970649564823,142.1449008365261,142.15914155202137,0.5,534.8281162809333,0.18154384614353578,534.6997453962424,534.956487165624,143.51289158273966,437.2248897632834
DDR4-3200,0,140,142.41322158867143,0.024126322479803404,142.39616170244088,142.43028147490202,0.5,377.32561789611646,1.3257289725028578,376.3881859496442,378.26304984258866,144.28776549644252,363.32074565553836
DDR4-3200,0,160,142.74976665431848,0.052447572887875375,142.71268061987269,142.78685268876427,0.5,214.37351182570296,0.6769617214297834,213.89482760187624,214.85219604952968,143.36949914073148,284.66851088650515
DDR4-3200,0,180,143.4240006125958,0.0194541024975342,143.4102444847979,143.4377567403937,0.5,162.83079831291366,0.027070822905568493,162.81165635046483,162.84994027536248,139.98753150411002,209.73829356741248
DDR4-3200,0,200,137.85700417320913,0.010314437130808216,137.8497107647698,137.86429758164843,0.5,135.49149249219062,0.07972345371226494,135.43511949745104,135.54786548693016,133.8988030021805,148.15729872119985
DDR4-3200,0,220,128.50586398318313,0.028786470530510852,128.48550887466456,128.52621909170168,0.5,124.16541618190918,0.09733378694453408,124.09659080112213,124.23424156269623,125.74944695683989,109.81600578342363
DDR4-3200,0,260,112.95548528995607,0.026232001512172365,112.93693646380271,112.97403411610942,0.5,117.8643293717484,0.007727679777417418,117.85886507697495,117.86979366652186,115.63516891208656,105.32806002875915
DDR4-3200,0,300,100.54312565815815,0.01097612310254233,100.5353643670812,100.55088694923509,0.5,115.43214560220548,0.0073194588392505085,115.42696996322563,115.43732124118533,103.72125506406759,110.46364532163753
DDR4-3200,0,340,90.61063566444707,0.051048063238150525,90.57453923276493,90.6467320961292,0.5,113.6239352008467,0.0018890363995575379,113.62259945039867,113.62527095129474,91.68097569163191,111.17912757444202
DDR4-3200,0,380,82.70591097219364,0.008652448608791061,82.69979276710849,82.71202917727878,0.5,112.29698499206035,0.03506020089076243,112.27219368626074,112.32177629785997,80.76156740003577,112.27006908073336
DDR4-3200,0,450,71.3596419357394,0.004630655942316765,71.35636756752126,71.36291630395756,0.5,111.28796207954301,0.030209427123490402,111.26660078876823,111.3093233703178,71.19795908730954,113.23784909231915
DDR4-3200,0,550,61.1043837789194,0.00013452333250551642,61.10428865655876,61.104478901280046,0.5,113.11668746497514,0.36318929711580034,112.85987385013019,113.3735010798201,63.159844037461966,114.29023844525992
DDR4-3200,0,600,56.45507449844292,0.0036718744423220673,56.45247809112509,56.45767090576075,0.5,118.60705467077067,0.004839329031727098,118.60363274839594,118.61047659314539,56.455682100328545,115.30345712836018
DDR4-3200,0,700,49.22962348534031,0.013165873737267702,49.22031380674044,49.238933163940175,0.5,117.30084247672059,0.02108591171311345,117.28593248556074,117.31575246788043,49.92465780409708,116.1454302733631
DDR4-3200,0,800,43.447972198742086,0.012808913775158555,43.43891492895204,43.457029468532134,0.5,116.48012160907527,0.006851740451670423,116.47527669693896,116.48496652121158,43.699376985627445,116.52598771677701
DDR4-3200,0,900,39.0584283465446,0.0021096354432784087,39.05693660901683,39.05992008407238,0.5,115.65763065995908,0.005088101633006318,115.65403282879102,115.66122849112715,37.90254580559628,116.27483981967823
DDR4-3200,0,1000,35.313899552169175,0.0018271697226700289,35.3126075480679,35.315191556270456,0.5,115.32152839865924,0.004712632202434144,115.31819606447166,115.32486073284683,32.063789976076734,114.99802279554682
DDR4-3200,0,1500,24.060978279941807,0.0018133591158050483,24.059696041414295,24.06226051846932,0.5,113.80194629595266,0.012298150881219914,113.7932501900685,113.81064240183683,25.269168017276648,113.61721054642244
DDR4-3200,0,2000,18.31675545209295,0.0013147203554791252,18.315825804414228,18.317685099771673,0.5,112.81617907459787,0.009696655406843708,112.80932250380486,112.82303564539089,18.71242483149962,113.2397409086982
DDR4-3200,0,3000,12.362307619608139,0.00030412483257744553,12.362092570876696,12.362522668339581,0.5,112.37032678155963,0.001629804747877557,112.36917433557039,112.37147922754886,12.501199651928053,113.18465698223406
DDR4-3200,0,5000,7.535287551289455,0.0003696452699612594,7.535026172612432,7.535548929966478,0.5,112.07479583917055,0.007054916023455794,112.06980726020966,112.07978441813142,6.813631925792222,113.44285658273056
DDR4-3200,0,40000,1.0435537767463792,0.00028429464136093846,1.0433527500776179,1.0437548034151405,0.5,114.8605781354425,0.005667796664047543,114.85657039798696,114.86458587289802,2.3773274365703685,113.91827347038964
DDR4-3200,0,100000,0.4805314428317528,0.0016975636980073895,0.47933108402939567,0.48173180163410995,0.5,115.55837700632208,0.008347747442517999,115.55247425749783,115.5642797551463,-0.36405854970802665,114.55649670786511
DDR4-3200,0,500000,0.17467247084748228,1.3260060315366088e-06,0.17467153321962547,0.17467340847533905,0.5,115.497937336205,0.010573553069628278,115.49046070512823,115.50541396728177,-0.9668707670134609,115.30311535781091
DDR4-3200,0,1000000,0.1372478790406228,0.00039914690118824953,0.136965639560103,0.1375301185211426,0.5,115.53135801559056,0.004192454978825884,115.52839350224521,115.5343225289359,1.0125460506835537,116.10371848288106
DDR4-3200,2,0,141.68314851912885,0.1313905111506425,141.59024139771066,141.776055640547,0.5050505050505051,529.9546179123795,0.3410925757587063,529.713429039048,530.1958067857108,141.61328944470367,530.3857336288085
DDR4-3200,2,5,141.4484789960132,0.014578779239454548,141.43817024235156,141.45878774967485,0.5050505050505051,531.3013202504255,1.298433986405505,530.3831887737151,532.219451727136,141.59557182395352,530.1944054836363
DDR4-3200,2,10,141.66578301653385,0.00039091176848258255,141.6655066001715,141.6660594328962,0.5050505050505051,528.4663743744848,0.8102968256249977,527.8934079943115,529.0393407546582,141.614696808568,530.1138668641668
DDR4-3200,2,15,141.65366474192467,0.04248899135649852,141.62362048801072,141.68370899583863,0.5050505050505051,531.9596871961145,0.7211403438750302,531.4497639687733,532.4696104234557,141.66006538084326,530.0976797762553
DDR4-3200,2,30,141.78058672854013,0.05909679192341031,141.73879898622474,141.82237447085555,0.5050505050505051,529.6299597412913,0.4808781205871629,529.2899275612998,529.9699919212826,141.72107852307533,530.0994062257574
DDR4-3200,2,35,141.860474806384,0.06594433017884052,141.81384512333375,141.90710448943426,0.5050505050505051,529.7243144756224,0.8274801419409112,529.1391976559588,530.309431295286,141.7871372175606,530.0726082185297
DDR4-3200,2,50,141.67121689803622,0.04549147387004365,141.63904956837655,141.70338422769592,0.5050505050505051,530.1964130855345,0.33001919321890105,529.9630542760877,530.4297718949813,141.8472792915159,529.0365572943751
DDR4-3200,2,55,142.0100607211914,0.039307465714041895,141.98226614563376,142.03785529674906,0.5050505050505051,527.559657963488,0.8671424407198385,526.9464956634004,528.1728202635757,141.84903468505547,546.4211583020494
DDR4-3200,2,70,141.84363722343875,0.03723249954856642,141.81730987052745,141.86996457635007,0.5050505050505051,531.6709264707636,0.04001511971194464,531.6426315082653,531.6992214332619,141.8263671956087,553.0490512260563
DDR4-3200,2,90,141.9108935391438,0.045379573070443865,141.87880533529835,141.94298174298928,0.5050505050505051,528.8377190718606,0.24760018272548043,528.6626393036324,529.0127988400889,141.7568535234594,534.2119041347536
DDR4-3200,2,100,141.82512360302243,0.05556860533839543,141.78583066536657,141.8644165406783,0.5050505050505051,527.3747650637056,0.37892205127892153,527.1068267117051,527.642703415706,142.49150396368904,490.3755044042954
DDR4-3200,2,120,141.8768168042904,0.015363083667827166,141.86595346364896,141.88768014493186,0.5050505050505051,536.7561422378471,0.3819076691552926,536.4860927352004,537.026191740494,145.64774004330968,427.1371704591403
DDR4-3200,2,140,141.98858572922654,0.022309055931012785,141.97281084449585,142.00436061395723,0.5050505050505051,329.93417676447626,1.4198984156528578,328.9301569661721,330.93819656278043,145.19226865594788,350.80082974686366
DDR4-3200,2,160,142.50031363032053,0.08216799127300883,142.44221208649492,142.55841517414618,0.5050505050505051,202.25358411310108,0.6749041976383403,201.77635477829975,202.73081344790242,141.00884994944434,270.2267962217519
DDR4-3200,2,180,143.5813086500914,0.0952707079551226,143.51394208644786,143.6486752137349,0.5050505050505051,157.0596365663016,0.202053398362243,156.9167632381579,157.20250989444534,134.53621876691062,195.31304818306498
DDR4-3200,2,200,135.97011003329897,0.017163374940971896,135.95797369449014,135.98224637210777,0.5050505050505051,132.0253042107944,0.00793266106852669,132.01969497235999,132.03091344922882,123.59261534715131,136.33075457187365
DDR4-3200,2,300,99.14545673612588,0.02521192645775229,99.12762921196082,99.16328426029092,0.5050505050505051,115.05667021242863,0.016760141514591872,115.04481900271001,115.06852142214724,109.7975309757714,102.68174610866788
DDR4-3200,2,340,89.26465209256966,0.0008330088392515756,89.26406306637064,89.26524111876869,0.5050505050505051,113.32639456900947,0.014735157312741717,113.31597523935177,113.33681389866715,94.28822908864743,105.89899683112273
DDR4-3200,2,380,81.27652416687684,0.002769761560614284,81.27456564969506,81.27848268405863,0.5050505050505051,112.02723204573749,0.004334672282245687,112.0241669695725,112.03029712190249,78.59632466257013,110.95146436832812
DDR4-3200,2,550,60.05028974135334,0.006199448526973185,60.0459060692603,60.05467341344637,0.5050505050505051,119.24713198276407,0.004534565000288452,119.24392556110263,119.2503384044255,64.59500553904401,113.03267861341214
DDR4-3200,2,600,55.45119669411184,0.0035267039377427987,55.44870293784223,55.45369045038146,0.5050505050505051,118.38851597909698,0.004411719863679014,118.38539642206467,118.39163553612927,55.151284725727855,115.31432985837209
DDR4-3200,2,700,48.259292473955355,0.002959699514222417,48.25719965035857,48.26138529755213,0.5050505050505051,117.32849506582397,0.009316995133136262,117.32190695538506,117.3350831762629,49.49059412741637,117.01548942757077
DDR4-3200,2,800,42.73431503732084,0.004368478958984206,42.73122605622547,42.737404018416214,0.5050505050505051,116.29312289495807,0.006254949849719372,116.28869997750336,116.29754581241279,42.471089434383416,117.01523376068505
