rw_ratio,pause,bandwidth,latency,row_buffer_hit_rate,row_buffer_miss_rate,row_buffer_empty_rate
36,15,17.1531904,300.2971933930371,0.8138355571839666,0.1861644428160334,0
66,40,7.425493333333334,126.44664402748,0.7798011894159221,0.22019881058407786,0
22,42,5.5787136,109.19394662494066,0.7728883351650578,0.22711166483494216,0
50,200,0.5713109333333333,72.33460541743527,0.7576044988461624,0.24239550115383757,0
56,40,7.13824,121.74485073216783,0.7504281167346573,0.24957188326534274,0
86,30,12.012578133333333,183.83803994193525,0.7583855215937215,0.24161447840627848,0
8,37,6.210798933333333,96.45713642942455,0.7960891859065603,0.2039108140934397,0
86,400,0.18696533333333332,71.00495207667731,0.710109539023277,0.289890460976723,0
82,50,5.478754133333334,114.3689047156932,0.7724126867188492,0.22758731328115078,0
36,75,2.4715434666666667,84.26697127101926,0.8202162038987135,0.17978379610128647,0
66,2,18.3217024,317.96057587770537,0.8170140346783495,0.18298596532165046,0
14,32,7.823940266666667,118.4867853536596,0.7571995096349747,0.24280049036502527,0
22,35,7.251477333333334,127.28790242723149,0.7648533595361166,0.23514664046388345,0
94,25,15.2892032,241.1028018854194,0.8208997749906722,0.17910022500932776,0
72,40,7.227298133333333,126.82273793512051,0.7560567401342938,0.2439432598657062,0
44,2,18.721079466666666,331.86289655130764,0.7889580384310603,0.21104196156893973,0
24,5,18.283767466666667,324.3817829863586,0.8020716605627946,0.19792833943720545,0
6,25,10.451136,147.23746706090645,0.8012300544808398,0.19876994551916016,0
76,40,7.6390784,125.18429900695911,0.7812203803711889,0.2187796196288111,0
86,75,3.025361066666667,84.67206502211167,0.844773921860919,0.15522607813908096,0
12,50,3.9270101333333334,80.68697722855684,0.809535709202482,0.19046429079751803,0
96,27,13.971933866666667,204.0501013161609,0.8386607880117459,0.16133921198825407,0
28,27,10.4654848,141.44436283635707,0.7380979171966628,0.26190208280333716,0
36,20,15.635259733333333,279.66889937269946,0.8089129963755085,0.1910870036244915,0
32,75,2.0857216000000003,84.50678108957167,0.8396226994053281,0.16037730059467192,0
58,22,15.3658112,280.02851241388197,0.7936805575224041,0.20631944247759593,0
56,20,16.022737066666664,289.00888345708137,0.7930796476154286,0.2069203523845714,0
36,200,0.6516693333333333,64.74629914557894,0.7599698824761842,0.24003011752381576,0
32,37,6.802193066666666,119.90717637346154,0.7392100680941174,0.2607899319058826,0
100,22,16.037636266666667,225.4242129915568,0.8549577114738903,0.14504228852610968,0
74,15,17.634624,310.84769361687216,0.766927365921345,0.23307263407865497,0
84,75,2.8261205333333335,105.19054784792694,0.8265551683947993,0.17344483160520074,0
