--------------------------------------------------------------------------------
CPU name:	Intel(R) Xeon(R) Platinum 8480+
CPU type:	Intel SapphireRapids processor
CPU clock:	2.00 GHz
--------------------------------------------------------------------------------
--------------------------------------------------------------------------------
STRUCT,Info,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU name:,Intel(R) Xeon(R) Platinum 8480+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU type:,Intel SapphireRapids processor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU clock:,1.999952414 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TABLE,Group 1 Raw,Custom,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Event,Counter,HWThread 2,HWThread 3,HWThread 4,HWThread 5,HWThread 6,HWThread 7,HWThread 8,HWThread 9,HWThread 10,HWThread 11,HWThread 12,HWThread 13,HWThread 14,HWThread 15,HWThread 16,HWThread 17,HWThread 18,HWThread 19,HWThread 20,HWThread 21,HWThread 22,HWThread 23,HWThread 24,HWThread 25,HWThread 26,HWThread 27,HWThread 28,HWThread 29,HWThread 30,HWThread 31,HWThread 32,HWThread 33,HWThread 34,HWThread 35,HWThread 36,HWThread 37,HWThread 38,HWThread 39,HWThread 40,HWThread 41,HWThread 42,HWThread 43,HWThread 44,HWThread 45,HWThread 46,HWThread 47,HWThread 48,HWThread 49,HWThread 50,HWThread 51,HWThread 52,HWThread 53,HWThread 54,HWThread 55,HWThread 56,HWThread 57,HWThread 58,HWThread 59,HWThread 60,HWThread 61,HWThread 62,HWThread 63,HWThread 64,HWThread 65,HWThread 66,HWThread 67,HWThread 68,HWThread 69,HWThread 70,HWThread 71,HWThread 72,HWThread 73,HWThread 74,HWThread 75,HWThread 76,HWThread 77,HWThread 78,HWThread 79,HWThread 80,HWThread 81,HWThread 82,HWThread 83,HWThread 84,HWThread 85,HWThread 86,HWThread 87,HWThread 88,HWThread 89,HWThread 90,HWThread 91,HWThread 92,HWThread 93,HWThread 94,HWThread 95,HWThread 96,HWThread 97,HWThread 98,HWThread 99,HWThread 100,HWThread 101,HWThread 102,HWThread 103,HWThread 104,HWThread 105,HWThread 106,HWThread 107,HWThread 108,HWThread 109,HWThread 110,HWThread 111
Runtime (RDTSC) [s],TSC,5.000160e+00,5.000160e+00,5.000160e+00,5.000160e+00,5.000160e+00,5.000160e+00,5.000160e+00,5.000160e+00,5.000160e+00,5.000160e+00,5.000160e+00,5.000160e+00,5.000160e+00,5.000160e+00,5.000160e+00,5.000160e+00,5.000160e+00,5.000160e+00,5.000160e+00,5.000160e+00,5.000160e+00,5.000160e+00,5.000160e+00,5.000160e+00,5.000160e+00,5.000160e+00,5.000160e+00,5.000160e+00,5.000160e+00,5.000160e+00,5.000160e+00,5.000160e+00,5.000160e+00,5.000160e+00,5.000160e+00,5.000160e+00,5.000160e+00,5.000160e+00,5.000160e+00,5.000160e+00,5.000160e+00,5.000160e+00,5.000160e+00,5.000160e+00,5.000160e+00,5.000160e+00,5.000160e+00,5.000160e+00,5.000160e+00,5.000160e+00,5.000160e+00,5.000160e+00,5.000160e+00,5.000160e+00,5.000160e+00,5.000160e+00,5.000160e+00,5.000160e+00,5.000160e+00,5.000160e+00,5.000160e+00,5.000160e+00,5.000160e+00,5.000160e+00,5.000160e+00,5.000160e+00,5.000160e+00,5.000160e+00,5.000160e+00,5.000160e+00,5.000160e+00,5.000160e+00,5.000160e+00,5.000160e+00,5.000160e+00,5.000160e+00,5.000160e+00,5.000160e+00,5.000160e+00,5.000160e+00,5.000160e+00,5.000160e+00,5.000160e+00,5.000160e+00,5.000160e+00,5.000160e+00,5.000160e+00,5.000160e+00,5.000160e+00,5.000160e+00,5.000160e+00,5.000160e+00,5.000160e+00,5.000160e+00,5.000160e+00,5.000160e+00,5.000160e+00,5.000160e+00,5.000160e+00,5.000160e+00,5.000160e+00,5.000160e+00,5.000160e+00,5.000160e+00,5.000160e+00,5.000160e+00,5.000160e+00,5.000160e+00,5.000160e+00,5.000160e+00
INSTR_RETIRED_ANY,FIXC0,43465438227,43534608060,43492817485,43505105893,43500763705,43498818374,43481327141,43467642229,43825820676,43491007425,43790239683,43814409606,43807777483,43478343015,43508071576,43499884471,43788915519,43805724773,43818293502,43480443400,43497092719,43512876794,43478771114,43492589353,43800079938,43777781781,43486228612,43817685845,43494051657,43474593548,43476889457,43794737506,43827835772,43805158428,43491756385,43788668973,43813557538,43520009192,43537340699,43782389735,43789924152,43814841529,43805180710,43497012235,43474532368,43796813442,43797041584,43457980207,43512160480,43481039305,43469955146,43462354531,43803112730,43480576983,0,9323,35946,6569,13425,6597,0,0,203419,6679,15920,9323,6828,42496,13411,13397,13390,6569,15920,6597,6856,6569,6569,15920,14387,0,6828,0,25073,13857,7410,7716,14047,56032,6569,15920,128849,21124,22776,4990,13684,22244,13425,13453,24832,6842,13425,6569,14054,13397,13425,19740,9337,6569,13166,82653
CPU_CLK_UNHALTED_CORE,FIXC1,14876404087,14888614119,14883976556,14885500663,14885704521,14881723492,14881161020,14878617057,14950563016,14885112842,14948768976,14948346847,14952388768,14890993639,14888759332,14885428895,14950379011,14949456797,14948980353,14884968447,14886307108,14892092457,14885757100,14887008305,14948888699,14949713614,14891690826,14949437034,14888845973,14886627465,14883576198,14948475331,14949458664,14947677911,14888804857,14947222569,14949351063,14892029631,14895226016,14947870334,14948779529,14947462556,14947592938,14893705265,14894881421,14948324630,14949071118,14890593709,14895317459,14892239972,14890121257,14892888275,14948524786,14892375895,0,17379,58888,12029,27891,17130,0,0,158124,13137,26952,16165,14562,107522,24736,24496,40707,11858,26907,11351,14878,13696,12557,28302,32727,0,13807,0,69062,34002,14178,39719,24012,110275,11469,28630,1311279,59763,43814,5636,26714,37373,24461,25462,49994,13567,24276,11870,31335,24520,24960,40626,21487,11240,23090,193082
CPU_CLK_UNHALTED_REF,FIXC2,9929876240,9937959120,9934776720,9936202400,9936090560,9933482080,9933236880,9931247280,9979535920,9935737840,9978343440,9978172480,9980094640,9939070560,9937495120,9935324480,9978495040,9978051360,9977889520,9935120400,9935865920,9939665680,9935584320,9936473520,9977740080,9978323200,9939613760,9978068960,9937937520,9936354080,9934193520,9977646720,9977853600,9977233520,9937628400,9976943760,9978239440,9939910240,9941792720,9977250160,9977801440,9976884800,9976847680,9941145360,9941692960,9977327200,9977802960,9938789600,9941798160,9939904240,9938144880,9940486640,9977499920,9940179520,0,11600,39600,8000,18560,11520,0,0,105360,8800,18080,10800,9680,71840,16480,16240,27120,7920,17840,7520,10000,9040,8480,18800,21840,0,9200,0,46080,22720,9440,26480,16000,73600,7600,19120,875280,39840,29360,3840,17760,25040,16320,16960,33200,9120,16240,7920,20720,16400,16640,27120,14480,7440,15520,129040
LONGEST_LAT_CACHE_MISS,PMC0,15081037,15379585,15535299,15129911,15017515,15166128,15367499,15275924,15458682,15206709,15375860,15412645,15527404,15296062,15251540,15094213,15430275,15277842,15471019,15249825,15138269,15545324,15322150,15057034,15388919,15390298,15423563,15509474,15282915,15129532,15236114,15438502,15384915,15301197,15283153,15502776,15593130,15159319,15164113,15456448,15531613,15419160,15420410,15333212,15182635,15533821,15526567,15398313,15102361,15177595,15254126,15509936,15413606,15163047,0,20,46,0,2,8,0,0,204,1,8,6,4,439,15,3,101,0,9,6,1,0,2,11,28,0,1,0,236,64,15,104,26,409,0,2,34886,166,96,8,4,8,5,3,76,7,2,2,16,9,6,19,7,2,1,162
CAS_COUNT_RD,MBOX0C0,213018971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,766462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS_COUNT_WR,MBOX0C1,8093332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,549223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS_COUNT_RD,MBOX1C0,212993883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,769626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS_COUNT_WR,MBOX1C1,8093036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,560861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS_COUNT_RD,MBOX2C0,213053802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,785211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
