--------------------------------------------------------------------------------
CPU name:	Intel(R) Xeon(R) Platinum 8480+
CPU type:	Intel SapphireRapids processor
CPU clock:	2.00 GHz
--------------------------------------------------------------------------------
--------------------------------------------------------------------------------
CPU name:	Intel(R) Xeon(R) Platinum 8480+
CPU type:	Intel SapphireRapids processor
CPU clock:	2.00 GHz
--------------------------------------------------------------------------------
--------------------------------------------------------------------------------
STRUCT,Info,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU name:,Intel(R) Xeon(R) Platinum 8480+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU type:,Intel SapphireRapids processor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU clock:,1.99994823 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TABLE,Group 1 Raw,Custom,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Event,Counter,HWThread 2,HWThread 3,HWThread 4,HWThread 5,HWThread 6,HWThread 7,HWThread 8,HWThread 9,HWThread 10,HWThread 11,HWThread 12,HWThread 13,HWThread 14,HWThread 15,HWThread 16,HWThread 17,HWThread 18,HWThread 19,HWThread 20,HWThread 21,HWThread 22,HWThread 23,HWThread 24,HWThread 25,HWThread 26,HWThread 27,HWThread 28,HWThread 29,HWThread 30,HWThread 31,HWThread 32,HWThread 33,HWThread 34,HWThread 35,HWThread 36,HWThread 37,HWThread 38,HWThread 39,HWThread 40,HWThread 41,HWThread 42,HWThread 43,HWThread 44,HWThread 45,HWThread 46,HWThread 47,HWThread 48,HWThread 49,HWThread 50,HWThread 51,HWThread 52,HWThread 53,HWThread 54,HWThread 55,HWThread 56,HWThread 57,HWThread 58,HWThread 59,HWThread 60,HWThread 61,HWThread 62,HWThread 63,HWThread 64,HWThread 65,HWThread 66,HWThread 67,HWThread 68,HWThread 69,HWThread 70,HWThread 71,HWThread 72,HWThread 73,HWThread 74,HWThread 75,HWThread 76,HWThread 77,HWThread 78,HWThread 79,HWThread 80,HWThread 81,HWThread 82,HWThread 83,HWThread 84,HWThread 85,HWThread 86,HWThread 87,HWThread 88,HWThread 89,HWThread 90,HWThread 91,HWThread 92,HWThread 93,HWThread 94,HWThread 95,HWThread 96,HWThread 97,HWThread 98,HWThread 99,HWThread 100,HWThread 101,HWThread 102,HWThread 103,HWThread 104,HWThread 105,HWThread 106,HWThread 107,HWThread 108,HWThread 109,HWThread 110,HWThread 111
Runtime (RDTSC) [s],TSC,5.000089e+00,5.000089e+00,5.000089e+00,5.000089e+00,5.000089e+00,5.000089e+00,5.000089e+00,5.000089e+00,5.000089e+00,5.000089e+00,5.000089e+00,5.000089e+00,5.000089e+00,5.000089e+00,5.000089e+00,5.000089e+00,5.000089e+00,5.000089e+00,5.000089e+00,5.000089e+00,5.000089e+00,5.000089e+00,5.000089e+00,5.000089e+00,5.000089e+00,5.000089e+00,5.000089e+00,5.000089e+00,5.000089e+00,5.000089e+00,5.000089e+00,5.000089e+00,5.000089e+00,5.000089e+00,5.000089e+00,5.000089e+00,5.000089e+00,5.000089e+00,5.000089e+00,5.000089e+00,5.000089e+00,5.000089e+00,5.000089e+00,5.000089e+00,5.000089e+00,5.000089e+00,5.000089e+00,5.000089e+00,5.000089e+00,5.000089e+00,5.000089e+00,5.000089e+00,5.000089e+00,5.000089e+00,5.000089e+00,5.000089e+00,5.000089e+00,5.000089e+00,5.000089e+00,5.000089e+00,5.000089e+00,5.000089e+00,5.000089e+00,5.000089e+00,5.000089e+00,5.000089e+00,5.000089e+00,5.000089e+00,5.000089e+00,5.000089e+00,5.000089e+00,5.000089e+00,5.000089e+00,5.000089e+00,5.000089e+00,5.000089e+00,5.000089e+00,5.000089e+00,5.000089e+00,5.000089e+00,5.000089e+00,5.000089e+00,5.000089e+00,5.000089e+00,5.000089e+00,5.000089e+00,5.000089e+00,5.000089e+00,5.000089e+00,5.000089e+00,5.000089e+00,5.000089e+00,5.000089e+00,5.000089e+00,5.000089e+00,5.000089e+00,5.000089e+00,5.000089e+00,5.000089e+00,5.000089e+00,5.000089e+00,5.000089e+00,5.000089e+00,5.000089e+00,5.000089e+00,5.000089e+00,5.000089e+00,5.000089e+00,5.000089e+00,5.000089e+00
INSTR_RETIRED_ANY,FIXC0,6658154545,6756333160,6646578652,6613637521,29850529933,6600474587,6705200897,6795311884,6761117132,6608296789,6680065562,6723203347,28001663739,6814813391,6830755055,6658078726,6650921638,6744015552,6683270084,6747590912,6621659918,6726982584,6602152192,6561937240,6686383284,6774563899,6690731905,6694146499,6662017794,6575939468,6728906752,6630731949,6605089706,6809712366,6654571838,6587140273,6802269048,6694901746,6713329197,6664062352,6741559420,6824736247,6646103886,6675994103,6768623978,6674816825,6645181251,6630933970,6794962740,6711949959,6706912578,6770029612,6684035168,6631150480,2502,6837,13669,13669,2144689,9339,6564,9334,6676,6837,9339,12132,9339,14287804,9604,9353,9348,18666,13401,9339,9367,16178,20337,38557,18643,13669,9339,6837,3818046,9334,9325,31104,16143,4990,9609,11836,9351,9346,12476,7295,9318,9059,8390,2495,6823,6823,0,18528,6837,6837,6837,9311,20506,16176,13655,19492
CPU_CLK_UNHALTED_CORE,FIXC1,14866324394,14932525797,14862388729,14870753173,14929755722,14868033381,14932413464,14932553629,14930283708,14930220869,14864742282,14868144806,14870658392,14933669214,14929658405,14871083528,14871833465,14936007259,14872514543,14931608483,14870588572,14872823805,14929994146,14864164293,14872736021,14931288295,14929506589,14873027573,14930957958,14873219114,14928523990,14868537722,14875262568,14931416906,14919547322,14872077406,14927897213,14869056006,14930396749,14927555505,14929376785,14934492505,14880644731,14930423553,14873392947,14872922748,14880127708,14929951045,14930323813,14873270718,14929883743,14933058366,14928728758,14929423894,3058,15245,27344,26115,2879440,18504,15106,17710,19909,13482,17188,43829,15884,30803347,18081,19436,17670,35742,34712,15404,15916,30041,46019,88116,33267,27969,17814,13029,2304709,14842,16339,49066,31858,5277,31558,19195,53409,15983,27200,13135,15552,15190,20986,4660,12701,13180,0,32252,15874,19015,13952,16300,41336,32156,25821,74738
CPU_CLK_UNHALTED_REF,FIXC2,9922889760,9967088400,9920325360,9925617360,9965322000,9924125200,9966987040,9966890000,9965653520,9965564880,9921760320,9924122560,9925960160,9967778560,9965185120,9926098080,9926387920,9969345040,9926948240,9966685360,9925724880,9927218560,9965459520,9921464000,9927064640,9965934800,9964918080,9927315600,9966151840,9927678720,9964718480,9924660480,9928658560,9966600480,9958550560,9926623920,9964138960,9924881040,9965850000,9963959200,9965322560,9968306880,9932346800,9965402560,9927684960,9927415520,9932256880,9965390160,9965442480,9927405440,9965247840,9967278560,9964479360,9964797520,2000,10160,18240,17520,1922000,12400,10080,11760,13120,8880,11360,29200,10560,20559760,12080,13120,11680,23760,23120,10320,10640,20160,30720,59520,22400,18800,12000,8640,1537200,9920,10960,32480,21280,3520,21120,12640,35680,10560,18160,8800,10400,10080,14000,3120,8400,8720,0,21520,10560,12800,9280,10960,27760,21440,17200,49920
LONGEST_LAT_CACHE_MISS,PMC0,165705889,167240959,165593332,166060380,14779997,165435614,166850688,167948039,167743311,166184455,167038826,167034988,17303050,168412598,167943456,166184943,166037901,168336661,166513456,167661437,165827151,167430901,165990345,164611782,166337986,168689653,167654288,165822380,166736817,164751272,167337076,165704798,164869934,167782057,166449624,165695756,168342187,166918344,166889889,166621102,168545888,167807601,167332455,166656791,167193602,166714785,165916571,166935097,167775947,166717859,167452453,168544445,167019908,165749116,0,5,12,12,1340,8,97,4,71,0,8,63,4,80871,11,4,3,15,1,1,3,14,84,13,8,4,10,2,189,2,3,20,10,4,38,9,74,3,13,1,4,4,53,5,3,0,0,18,6,8,2,3,13,6,14,127
CAS_COUNT_RD,MBOX0C0,1145323171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1232430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS_COUNT_WR,MBOX0C1,1089786215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,652962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS_COUNT_RD,MBOX1C0,1145682838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1213483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS_COUNT_WR,MBOX1C1,1089663037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,655094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS_COUNT_RD,MBOX2C0,1145445099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1333778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
