--------------------------------------------------------------------------------
CPU name:	Intel(R) Xeon(R) Platinum 8480+
CPU type:	Intel SapphireRapids processor
CPU clock:	2.00 GHz
--------------------------------------------------------------------------------
--------------------------------------------------------------------------------
STRUCT,Info,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU name:,Intel(R) Xeon(R) Platinum 8480+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU type:,Intel SapphireRapids processor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU clock:,1.999958229 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TABLE,Group 1 Raw,Custom,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Event,Counter,HWThread 2,HWThread 3,HWThread 4,HWThread 5,HWThread 6,HWThread 7,HWThread 8,HWThread 9,HWThread 10,HWThread 11,HWThread 12,HWThread 13,HWThread 14,HWThread 15,HWThread 16,HWThread 17,HWThread 18,HWThread 19,HWThread 20,HWThread 21,HWThread 22,HWThread 23,HWThread 24,HWThread 25,HWThread 26,HWThread 27,HWThread 28,HWThread 29,HWThread 30,HWThread 31,HWThread 32,HWThread 33,HWThread 34,HWThread 35,HWThread 36,HWThread 37,HWThread 38,HWThread 39,HWThread 40,HWThread 41,HWThread 42,HWThread 43,HWThread 44,HWThread 45,HWThread 46,HWThread 47,HWThread 48,HWThread 49,HWThread 50,HWThread 51,HWThread 52,HWThread 53,HWThread 54,HWThread 55,HWThread 56,HWThread 57,HWThread 58,HWThread 59,HWThread 60,HWThread 61,HWThread 62,HWThread 63,HWThread 64,HWThread 65,HWThread 66,HWThread 67,HWThread 68,HWThread 69,HWThread 70,HWThread 71,HWThread 72,HWThread 73,HWThread 74,HWThread 75,HWThread 76,HWThread 77,HWThread 78,HWThread 79,HWThread 80,HWThread 81,HWThread 82,HWThread 83,HWThread 84,HWThread 85,HWThread 86,HWThread 87,HWThread 88,HWThread 89,HWThread 90,HWThread 91,HWThread 92,HWThread 93,HWThread 94,HWThread 95,HWThread 96,HWThread 97,HWThread 98,HWThread 99,HWThread 100,HWThread 101,HWThread 102,HWThread 103,HWThread 104,HWThread 105,HWThread 106,HWThread 107,HWThread 108,HWThread 109,HWThread 110,HWThread 111
Runtime (RDTSC) [s],TSC,5.000103e+00,5.000103e+00,5.000103e+00,5.000103e+00,5.000103e+00,5.000103e+00,5.000103e+00,5.000103e+00,5.000103e+00,5.000103e+00,5.000103e+00,5.000103e+00,5.000103e+00,5.000103e+00,5.000103e+00,5.000103e+00,5.000103e+00,5.000103e+00,5.000103e+00,5.000103e+00,5.000103e+00,5.000103e+00,5.000103e+00,5.000103e+00,5.000103e+00,5.000103e+00,5.000103e+00,5.000103e+00,5.000103e+00,5.000103e+00,5.000103e+00,5.000103e+00,5.000103e+00,5.000103e+00,5.000103e+00,5.000103e+00,5.000103e+00,5.000103e+00,5.000103e+00,5.000103e+00,5.000103e+00,5.000103e+00,5.000103e+00,5.000103e+00,5.000103e+00,5.000103e+00,5.000103e+00,5.000103e+00,5.000103e+00,5.000103e+00,5.000103e+00,5.000103e+00,5.000103e+00,5.000103e+00,5.000103e+00,5.000103e+00,5.000103e+00,5.000103e+00,5.000103e+00,5.000103e+00,5.000103e+00,5.000103e+00,5.000103e+00,5.000103e+00,5.000103e+00,5.000103e+00,5.000103e+00,5.000103e+00,5.000103e+00,5.000103e+00,5.000103e+00,5.000103e+00,5.000103e+00,5.000103e+00,5.000103e+00,5.000103e+00,5.000103e+00,5.000103e+00,5.000103e+00,5.000103e+00,5.000103e+00,5.000103e+00,5.000103e+00,5.000103e+00,5.000103e+00,5.000103e+00,5.000103e+00,5.000103e+00,5.000103e+00,5.000103e+00,5.000103e+00,5.000103e+00,5.000103e+00,5.000103e+00,5.000103e+00,5.000103e+00,5.000103e+00,5.000103e+00,5.000103e+00,5.000103e+00,5.000103e+00,5.000103e+00,5.000103e+00,5.000103e+00,5.000103e+00,5.000103e+00,5.000103e+00,5.000103e+00,5.000103e+00,5.000103e+00
INSTR_RETIRED_ANY,FIXC0,42761317936,42708703964,42970447995,42713653481,42717653984,43038065632,42733184481,42719008794,43043220869,42674525204,42793379526,42712263150,43029106204,42681566991,43024202619,43024956680,42705806924,42951724943,42725848122,42737906725,43034196917,43036889857,42718431197,43013994013,42699151848,43010787487,42727286456,42709671458,43029757143,42701809701,43025416838,43000015273,42741964935,43005228306,43024404879,43026080001,42724906995,42696603476,43033918156,42700809521,42685589900,42664920779,42725221825,42689233202,43016745613,43021926780,42703368768,42664140491,43023354934,43021960690,42686300375,43041605403,42747729600,42714756189,0,0,0,43553826,9043,16174,22729,16151,38885,199677,24672,19952,6555,13369,51231,15857,6555,312065,13670,7234,13110,25315,0,2495,6832,6555,6555,885574,19458,6555,15885,13138,9302,15612,9323,6814,6910,7098,13469,6555,4990,6583,12141,0,2495,0,6555,6583,6304,6555,1000324,12381,6752,0,2495,0
CPU_CLK_UNHALTED_CORE,FIXC1,14891431217,14880988732,14949423187,14884133259,14884112744,14949994584,14883592847,14885030937,14949454621,14876851519,14899817973,14883241290,14947651347,14882316539,14948319450,14948908375,14884833992,14948959426,14886685744,14891180598,14949536379,14949824846,14886979874,14948452471,14884484653,14947414030,14891613563,14887335515,14947638846,14888603068,14948608925,14947507844,14894670952,14947661561,14948287821,14946374230,14888976743,14886194176,14947972150,14889017606,14884030477,14886451383,14893474036,14889700180,14947713382,14946413478,14889407711,14881218338,14947704444,14947603606,14891073018,14947591965,14894900081,14893476849,0,0,0,8103085,16471,30611,71780,33026,78573,324050,51745,42721,13659,26269,186874,33711,14476,253499,28519,15903,24860,43094,0,4168,13325,12239,13892,586355,34608,14058,29145,23219,16835,27911,17619,16561,16979,16017,41323,19446,7002,11980,27813,0,3199,0,12371,21858,15062,13849,631974,24655,24504,0,2908,0
CPU_CLK_UNHALTED_REF,FIXC2,9939405120,9932791520,9978184320,9934849360,9934486080,9978699680,9934442800,9935335440,9978302960,9929988080,9945134640,9934158640,9977173920,9933524000,9977538080,9977868640,9935047280,9977876160,9936429520,9939110480,9978126880,9978401120,9936370960,9977433200,9934952880,9976904240,9939506960,9937032640,9976922400,9937709920,9977392640,9976782960,9941502000,9977049840,9977056400,9976188800,9938047440,9935757520,9977136560,9937761200,9934592880,9936325040,9940744080,9938302720,9977081440,9976364160,9938020080,9932395200,9976830080,9976894720,9939347360,9976705680,9941655920,9940858000,0,0,0,5408400,11040,20400,47920,22000,52640,215920,34560,28480,9200,17520,124880,22480,9600,169360,18960,10720,16560,28800,0,2800,8880,8080,9280,391040,23040,9360,19440,15520,11200,18560,11680,11040,11360,10800,27680,13040,4640,8000,18480,0,2160,0,8240,14640,10400,9280,422240,16560,16240,0,2000,0
LONGEST_LAT_CACHE_MISS,PMC0,18742598,18634610,18923859,18622550,18510093,18721056,18604384,18645628,18602059,18465269,18712770,18793781,18538847,18641015,19098331,18984401,18560156,18736569,18428362,18624417,18817828,18805223,18627963,18819308,18691291,18719243,18477009,18662701,18849292,18523925,18533460,18719251,18810187,18960799,18553315,19009669,18699660,18596232,18637985,18621038,18798312,18898431,18620740,18646238,18846620,18662053,18492804,18577607,18988410,18856763,18558394,18823563,18743760,18519060,0,0,0,5762,56,8,24,22,139,964,212,108,2,93,458,44,87,1377,3,98,8,73,0,8,1,2,50,232,74,85,18,2,5,10,7,74,114,2,153,81,6,13,101,0,5,0,2,84,66,95,953,101,72,0,2,0
CAS_COUNT_RD,MBOX0C0,376986624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,795918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS_COUNT_WR,MBOX0C1,255058265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,567780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS_COUNT_RD,MBOX1C0,376998983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,796767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS_COUNT_WR,MBOX1C1,255060241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,581859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS_COUNT_RD,MBOX2C0,376992926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,833215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
