--------------------------------------------------------------------------------
CPU name:	Intel(R) Xeon(R) Platinum 8480+
CPU type:	Intel SapphireRapids processor
CPU clock:	2.00 GHz
--------------------------------------------------------------------------------
--------------------------------------------------------------------------------
STRUCT,Info,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU name:,Intel(R) Xeon(R) Platinum 8480+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU type:,Intel SapphireRapids processor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU clock:,1.999960089 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TABLE,Group 1 Raw,Custom,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Event,Counter,HWThread 2,HWThread 3,HWThread 4,HWThread 5,HWThread 6,HWThread 7,HWThread 8,HWThread 9,HWThread 10,HWThread 11,HWThread 12,HWThread 13,HWThread 14,HWThread 15,HWThread 16,HWThread 17,HWThread 18,HWThread 19,HWThread 20,HWThread 21,HWThread 22,HWThread 23,HWThread 24,HWThread 25,HWThread 26,HWThread 27,HWThread 28,HWThread 29,HWThread 30,HWThread 31,HWThread 32,HWThread 33,HWThread 34,HWThread 35,HWThread 36,HWThread 37,HWThread 38,HWThread 39,HWThread 40,HWThread 41,HWThread 42,HWThread 43,HWThread 44,HWThread 45,HWThread 46,HWThread 47,HWThread 48,HWThread 49,HWThread 50,HWThread 51,HWThread 52,HWThread 53,HWThread 54,HWThread 55,HWThread 56,HWThread 57,HWThread 58,HWThread 59,HWThread 60,HWThread 61,HWThread 62,HWThread 63,HWThread 64,HWThread 65,HWThread 66,HWThread 67,HWThread 68,HWThread 69,HWThread 70,HWThread 71,HWThread 72,HWThread 73,HWThread 74,HWThread 75,HWThread 76,HWThread 77,HWThread 78,HWThread 79,HWThread 80,HWThread 81,HWThread 82,HWThread 83,HWThread 84,HWThread 85,HWThread 86,HWThread 87,HWThread 88,HWThread 89,HWThread 90,HWThread 91,HWThread 92,HWThread 93,HWThread 94,HWThread 95,HWThread 96,HWThread 97,HWThread 98,HWThread 99,HWThread 100,HWThread 101,HWThread 102,HWThread 103,HWThread 104,HWThread 105,HWThread 106,HWThread 107,HWThread 108,HWThread 109,HWThread 110,HWThread 111
Runtime (RDTSC) [s],TSC,5.000096e+00,5.000096e+00,5.000096e+00,5.000096e+00,5.000096e+00,5.000096e+00,5.000096e+00,5.000096e+00,5.000096e+00,5.000096e+00,5.000096e+00,5.000096e+00,5.000096e+00,5.000096e+00,5.000096e+00,5.000096e+00,5.000096e+00,5.000096e+00,5.000096e+00,5.000096e+00,5.000096e+00,5.000096e+00,5.000096e+00,5.000096e+00,5.000096e+00,5.000096e+00,5.000096e+00,5.000096e+00,5.000096e+00,5.000096e+00,5.000096e+00,5.000096e+00,5.000096e+00,5.000096e+00,5.000096e+00,5.000096e+00,5.000096e+00,5.000096e+00,5.000096e+00,5.000096e+00,5.000096e+00,5.000096e+00,5.000096e+00,5.000096e+00,5.000096e+00,5.000096e+00,5.000096e+00,5.000096e+00,5.000096e+00,5.000096e+00,5.000096e+00,5.000096e+00,5.000096e+00,5.000096e+00,5.000096e+00,5.000096e+00,5.000096e+00,5.000096e+00,5.000096e+00,5.000096e+00,5.000096e+00,5.000096e+00,5.000096e+00,5.000096e+00,5.000096e+00,5.000096e+00,5.000096e+00,5.000096e+00,5.000096e+00,5.000096e+00,5.000096e+00,5.000096e+00,5.000096e+00,5.000096e+00,5.000096e+00,5.000096e+00,5.000096e+00,5.000096e+00,5.000096e+00,5.000096e+00,5.000096e+00,5.000096e+00,5.000096e+00,5.000096e+00,5.000096e+00,5.000096e+00,5.000096e+00,5.000096e+00,5.000096e+00,5.000096e+00,5.000096e+00,5.000096e+00,5.000096e+00,5.000096e+00,5.000096e+00,5.000096e+00,5.000096e+00,5.000096e+00,5.000096e+00,5.000096e+00,5.000096e+00,5.000096e+00,5.000096e+00,5.000096e+00,5.000096e+00,5.000096e+00,5.000096e+00,5.000096e+00,5.000096e+00,5.000096e+00
INSTR_RETIRED_ANY,FIXC0,32274333691,32503534975,32517419763,32527331373,32507485366,32357926570,32330155521,32442240917,32226721507,32215722144,32267623306,32506067871,32437612365,32213724141,32274005397,32635869631,32271168288,32179918311,32509352784,32275410243,32568332098,32232189367,32505425811,32331611603,32279972888,32661479039,32532920707,32253370823,32505054102,32658752154,32378689852,32528837999,32513247420,32318087952,32437894435,32190031616,32522377990,32361813780,32437872456,32260452146,32343543633,32549900335,32415916224,32242886029,32568751140,32462273224,32231877515,32304090048,32277492509,32298087126,32333016430,32479039215,32609796141,32182664854,8136,14378411,6569,2502,18506,11846,20945,9344,14075,231917,16204,9337,6830,6828,9073,0,133441,15689,6830,11580,137210,18672,32704,6856,9345,9351,2509,3366056,6735,0,6583,44025608,9795,11582,16181,6828,6828,9318,11825,29692,5011,6830,9337,6842,11608,14383,9169,1876868,25523,737521,46837,2502,9120,6856,9064,87005
CPU_CLK_UNHALTED_CORE,FIXC1,14847685493,14919424863,14919553757,14919641889,14918487736,14848215343,14856784792,14919306658,14854979004,14848862506,14855787353,14917533793,14916956400,14856720279,14856860142,14919848340,14860798222,14856690285,14912148415,14853200117,14919119288,14852142610,14916398482,14855291773,14864772044,14918401263,14918065959,14860179787,14918732517,14917903862,14855715451,14917255115,14915136505,14857897546,14917517642,14856219179,14918200478,14862960189,14918127953,14862426921,14859892190,14916311938,14908101482,14860791270,14917666686,14916473177,14864659102,14860103349,14859239334,14863688858,14858345545,14916782071,14917169585,14863227698,62715,25328248,11533,3293,46775,19470,36292,16342,22474,366890,31806,17595,13886,14842,17300,0,258752,26579,14619,20634,251333,36416,59675,14571,19748,19445,4332,2054200,12721,0,12780,12391644,16915,22381,46120,13596,14471,21548,19767,71407,9303,13222,17627,12806,17308,24449,16787,857167,48870,1024252,73681,3110,16051,13801,14884,206174
CPU_CLK_UNHALTED_REF,FIXC2,9910472160,9958329120,9958315520,9958581520,9957640160,9911128880,9916604160,9958180240,9915388240,9911380800,9916165520,9957281600,9956604720,9916484560,9916485680,9958542800,9919289520,9916305840,9953283760,9913954720,9957992000,9913497120,9956227680,9915286720,9921911120,9957673520,9957338800,9918623600,9957672640,9957203040,9915656800,9956662160,9955124080,9916999120,9956903920,9916114720,9957212400,9920133360,9957113600,9920183840,9918617360,9955984960,9950575120,9919125840,9957182800,9956694640,9921636720,9918631200,9918270480,9921222880,9917507520,9956383200,9956612560,9920723840,41920,16905120,7760,2160,31040,12960,24320,10960,14960,244480,21120,11680,9200,9920,11600,0,172880,17760,9760,13680,167680,24080,39840,9840,13040,12960,2880,1372880,8480,0,8400,8270960,11280,14960,30720,9120,9680,14320,13280,47600,6160,8880,11760,8560,11600,16320,11200,572480,32560,684640,49520,2080,10640,9280,9840,136640
LONGEST_LAT_CACHE_MISS,PMC0,76679601,76816963,76921391,77460560,77827125,77343758,76984921,77016411,77641920,76823806,76833190,76710045,77702561,76877819,76855613,77548376,77805546,76869289,76937395,77149601,77316708,76567013,77970910,77309712,76908328,77883286,77232017,76885055,77867823,77759444,77024669,77253282,77121373,77273556,76984668,77480881,77049387,76836907,77146021,77729361,77069840,76864078,77549521,76882828,77157111,76922363,77644246,76923701,77080217,77244166,77301609,77012505,77719938,77841782,213,89837,0,1,46,17,11,8,15,1080,8,87,1,0,5,0,1046,11,3,14,764,5,43,1,90,103,4,166,8,0,1,30232,4,28,101,4,2,17,5,45,11,2,48,7,8,50,35,624,62,2748,86,3,8,2,3,141
CAS_COUNT_RD,MBOX0C0,1308479422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1025074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS_COUNT_WR,MBOX0C1,653041200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,590670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS_COUNT_RD,MBOX1C0,1308405305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1048972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS_COUNT_WR,MBOX1C1,653020356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,632094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS_COUNT_RD,MBOX2C0,1308473555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1212152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
