type,rd_percentage,pause,bandwidth_mean,bandwidth_std,bandwidth_min,bandwidth_max,latency_mean,latency_std,latency_min,latency_max
DDR4-2600,8,15,118.71124365611183,0.03437619699118384,118.67824078754882,118.74684563801732,1727.8561047849998,0.20840661399483673,1727.708739055,1728.003470515
DDR4-2600,8,20,120.90245712222337,0.11471010861328637,120.77554777192815,120.99875873975238,1495.2060255825,0.22317699631621823,1495.048215615,1495.36383555
DDR4-2600,8,25,120.80640125281246,0.030870774412965537,120.77075882444986,120.82468903764078,1491.9506798624998,4.425064326563799,1488.82168687,1495.079672855
DDR4-2600,8,30,120.95005350627703,0.04709861997824496,120.89968046038705,120.99299382289209,1498.4784991850001,1.9263033762941508,1497.116397005,1499.840601365
DDR4-2600,8,35,120.9174417965847,0.15849915867040756,120.75153144185792,121.06730959566518,1479.369203975,2.18818820744961,1477.821921255,1480.916486695
DDR4-2600,8,40,120.9734986982645,0.12357490667655852,120.85549880798457,121.1019808496199,1493.81273817,1.5113156788100368,1492.744076605,1494.881399735
DDR4-2600,8,45,121.05111517970903,0.0437351146910199,121.00198759099494,121.08580914076714,1474.54446302,0.9131812014537567,1473.8987464,1475.19017964
DDR4-2600,8,50,121.08514150478753,0.05393124365921872,121.03908300163637,121.14446868685833,1463.5210614075,6.732741622858254,1458.76029415,1468.281828665
DDR4-2600,8,55,121.07369424461494,0.06339878024265025,121.0010779249577,121.1180371991413,1465.49874807,1.010610453771722,1464.784138565,1466.213357575
DDR4-2600,8,60,121.52140798037284,0.05839411934278759,121.4596369863493,121.57570568353498,1457.7096657400002,6.013773348156038,1453.457285825,1461.962045655
DDR4-2600,8,65,121.82483093341466,0.06662784278562561,121.75122621330672,121.88102474306994,1470.57900411,0.3680785376759761,1470.31873328,1470.83927494
DDR4-2600,8,70,121.38693779974808,0.0827751697839295,121.29482931606832,121.45509971352372,1451.54428787,5.5316089083978754,1447.6328497,1455.45572604
DDR4-2600,8,80,117.06962660506922,0.1871911056887913,116.88156988250792,117.2559399156841,1478.6827289225,0.8599824859262001,1478.074629475,1479.29082837
DDR4-2600,8,90,122.32697004000467,0.08236584075617857,122.23312245468301,122.38725814224149,1439.850637525,0.002121299130369605,1439.84913754,1439.85213751
DDR4-2600,8,100,121.54229364372253,0.08116714411051526,121.4908907859322,121.63586564754746,1427.55594174,3.938596579892313,1424.77093339,1430.34095009
DDR4-2600,8,120,121.67988061415447,0.12119685516589522,121.56136015574518,121.80358735921483,1412.1903100499999,2.78349388291448,1410.22208265,1414.15853745
DDR4-2600,8,140,122.06124657236334,0.010836549267355194,122.04881651942955,122.06870704576663,1387.970363925,6.490029231934784,1383.381220245,1392.559507605
DDR4-2600,8,160,121.95963294245026,0.04860538830834567,121.91293260972286,122.00994220681385,1363.9529757925,0.711435027756213,1363.44991526,1364.456036325
DDR4-2600,8,180,121.96110994229377,0.03143751255154425,121.92742734170001,121.98967425450566,1350.34801685,6.54359785269739,1345.720994435,1354.975039265
DDR4-2600,8,200,122.13625961701689,0.05327285332959039,122.08471241940711,122.1911048809927,1348.998819105,5.458970155147761,1345.13874429,1352.85889392
DDR4-2600,8,220,122.39247538345292,0.010365177003618248,122.38417953495255,122.4040946574848,1327.0327590074999,4.6145731794913365,1323.76976302,1330.295754995
DDR4-2600,8,260,120.85773212002464,0.4328683981914026,120.37980792974832,121.22344752444639,1226.3837304925,2.3840691708135644,1224.697939015,1228.06952197
DDR4-2600,8,300,121.71907172517406,0.1579563941290608,121.57234884825934,121.88626557001992,1222.8215318124999,0.24611648782099044,1222.647501175,1222.99556245
DDR4-2600,8,340,121.51118584293023,0.09601276632295633,121.41850328387167,121.61021401581786,1192.53437975,1.6537317716537994,1191.3650148,1193.7037447
DDR4-2600,8,380,121.89161149655605,0.044134956117117624,121.85426550434103,121.9403153434768,1161.624078765,1.3056312703588715,1160.70085804,1162.54729949
DDR4-2600,8,450,119.42939789865528,0.34838583169095694,119.05738525125801,119.74798487839148,1057.7186803775,5.667710993769542,1053.7110035,1061.726357255
DDR4-2600,8,550,117.91348156550622,0.322619751285078,117.71314240669261,118.28564686179774,919.227191975,0.39714831263354305,918.94636571,919.50801824
DDR4-2600,8,600,115.68645642041201,0.3661487138403557,115.35533146774152,116.07968549494773,835.7759764474999,0.3468626649123529,835.530707505,836.02124539
DDR4-2600,8,700,107.4680103508906,0.062143181287896934,107.42894365909721,107.53966969965361,778.67623025,3.7362574016993033,776.034297305,781.318163195
DDR4-2600,8,800,101.16558663987848,0.14976792190660612,101.03055242405514,101.32667057337463,649.81924144,1.4732202373337864,648.77751742,650.86096546
DDR4-2600,8,900,98.94694350505068,0.24221485717355687,98.79390289972375,99.22620000792635,568.2445922725001,0.19218790728030397,568.1086949,568.380489645
DDR4-2600,8,1000,93.97676562888735,0.07448473567130864,93.89088629826685,94.02377116152891,509.5886722575,1.4095766354092438,508.59195106,510.585393455
